onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
7.41406	0	128	ᶩ	128	0	NaN	NaN	NaN
8.68262	0.05	12	⊼	12	1	0.0296832	1	NaN
8.75391	0	128	⌅	128	1	NaN	NaN	NaN
9.64551	0	124	⚖	124	1	NaN	NaN	NaN
10.9902	0.05	12	⯷	12	2	0.0288083	1	NaN
11.0283	0	128	Ⱎ	128	2	NaN	NaN	NaN
12.127	0	124	ゃ	124	2	NaN	NaN	NaN
13.6162	0.05	11	㙸	11	3	0.0285838	1	NaN
13.6553	0	128	㚠	128	3	NaN	NaN	NaN
14.4707	0	124	㧣	124	3	NaN	NaN	NaN
15.8916	0.05	21	㾒	21	4	0.0281002	1	NaN
15.9297	0	128	㾹	128	4	NaN	NaN	NaN
16.79	0	124	䌪	124	4	NaN	NaN	NaN
18.3506	0.05	12	䥨	12	5	0.0258628	0	NaN
18.3896	0	128	䦐	128	5	NaN	NaN	NaN
19.0576	0	125	䰼	125	5	NaN	NaN	NaN
20.5752	0.05	22	剎	22	6	0.0281077	0	NaN
20.6143	0	128	剶	128	6	NaN	NaN	NaN
21.2803	0	125	唠	125	6	NaN	NaN	NaN
22.7168	0	31	嫟	31	7	NaN	0	NaN
22.7559	0	128	嬇	128	7	NaN	NaN	NaN
23.5508	0	125	帵	125	7	NaN	NaN	NaN
25.0254	0.05	22	搛	22	8	0.0292266	1	NaN
25.0635	0	128	摂	128	8	NaN	NaN	NaN
26.1113	0	124	桳	124	8	NaN	NaN	NaN
27.5674	0.05	12	湆	12	9	0.0276132	1	NaN
27.6064	0	128	湮	128	9	NaN	NaN	NaN
28.6475	0	124	犘	124	9	NaN	NaN	NaN
29.96	0.05	22	矘	22	10	0.0266264	0	2
29.999	0	128	砀	128	10	NaN	NaN	NaN
30.8955	0	125	箖	125	10	NaN	NaN	NaN
32.3682	0	122	腺	122	10	NaN	NaN	NaN
33.4561	0.05	11	藔	11	11	0.0260491	1	NaN
