onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
1.19922	0.05	12	Ӎ	12	1	0.0278222	1	NaN
1.23828	0	128	ӵ	128	1	NaN	NaN	NaN
2.50684	0	124	ਈ	124	1	NaN	NaN	NaN
4.05957	0.05	12	ှ	12	2	0.028826	0	NaN
4.09863	0	128	ၦ	128	2	NaN	NaN	NaN
8.77344	0	125	⌙	125	2	NaN	NaN	NaN
10.2822	0.05	12	⤢	12	3	0.0301436	1	NaN
10.3223	0	128	⥋	128	3	NaN	NaN	NaN
11.0166	0	124	Ⱂ	124	3	NaN	NaN	NaN
12.457	0.05	12	㇕	12	4	0.0289289	1	NaN
12.4961	0	128	ㇽ	128	4	NaN	NaN	NaN
13.1885	0	124	㓂	124	4	NaN	NaN	NaN
14.5156	0.05	22	㨑	22	5	0.0223274	0	NaN
14.5537	0	128	㨸	128	5	NaN	NaN	NaN
15.376	0	125	㶂	125	5	NaN	NaN	NaN
16.8408	0.05	22	䍞	22	6	0.0244119	0	2
16.8799	0	128	䎆	128	6	NaN	NaN	NaN
17.6826	0	125	䚼	125	6	NaN	NaN	NaN
19.4971	0	122	䷾	122	6	NaN	NaN	NaN
20.6045	0.05	12	剬	12	7	0.0291135	1	NaN
20.6436	0	128	劔	128	7	NaN	NaN	NaN
21.4131	0	124	喨	124	7	NaN	NaN	NaN
22.8965	0	32	宗	32	8	NaN	0	NaN
22.9355	0	128	宿	128	8	NaN	NaN	NaN
23.6328	0	125	庉	125	8	NaN	NaN	NaN
25.2051	0	31	擓	31	9	NaN	0	NaN
25.2441	0	128	擻	128	9	NaN	NaN	NaN
26.1709	0	125	械	125	9	NaN	NaN	NaN
27.7471	0.05	11	滾	11	10	0.0269032	1	NaN
27.7871	0	128	漧	128	10	NaN	NaN	NaN
28.4834	0	124	燰	124	10	NaN	NaN	NaN
29.7383	0.05	22	盵	22	11	0.0233874	0	NaN
29.7773	0	128	眝	128	11	NaN	NaN	NaN
30.7725	0	125	笘	125	11	NaN	NaN	NaN
32.0635	0.05	22	聂	22	12	0.0245843	1	NaN
32.1025	0	128	聪	128	12	NaN	NaN	NaN
32.9395	0	124	菃	124	12	NaN	NaN	NaN
34.2891	0.05	11	褩	11	13	0.0288222	1	NaN
34.3271	0	128	襐	128	13	NaN	NaN	NaN
35.3271	0	124	赐	124	13	NaN	NaN	NaN
36.7812	0.05	22	錡	22	14	0.0252641	1	NaN
36.8203	0	128	鍉	128	14	NaN	NaN	NaN
37.5801	0	124	陓	124	14	NaN	NaN	NaN
38.8389	0.05	11	魜	11	15	0.027161	0	NaN
38.8779	0	128	鮄	128	15	NaN	NaN	NaN
39.8721	0	125	齾	125	15	NaN	NaN	NaN
41.3477	0.05	21	ꕥ	21	16	0.0231785	1	NaN
41.3867	0	128	ꖍ	128	16	NaN	NaN	NaN
42.2588	0	124	ꤊ	124	16	NaN	NaN	NaN
43.707	0.05	21	껕	21	17	0.0228153	1	NaN
43.7461	0	128	껽	128	17	NaN	NaN	NaN
44.5215	0	124	눗	124	17	NaN	NaN	NaN
45.7812	0	32	뜡	32	18	NaN	0	NaN
45.8203	0	128	띉	128	18	NaN	NaN	NaN
46.7148	0	125	뫝	125	18	NaN	NaN	NaN
48.2734	0	32	섙	32	19	NaN	0	NaN
48.3125	0	128	셁	128	19	NaN	NaN	NaN
49.0449	0	125	쐯	125	19	NaN	NaN	NaN
50.3486	0.05	11	쥦	11	20	0.026201	1	NaN
50.3877	0	128	즎	128	20	NaN	NaN	NaN
51.2705	0	124	촖	124	20	NaN	NaN	NaN
52.54	0.05	21	툪	21	21	0.0211668	0	NaN
52.5791	0	128	퉒	128	21	NaN	NaN	NaN
53.3975	0	125	햘	125	21	NaN	NaN	NaN
54.748	0.05	12	�	12	22	0.0257953	0	NaN
54.7871	0	128	�	128	22	NaN	NaN	NaN
55.6016	0	125	�	125	22	NaN	NaN	NaN
57.1064	0.05	11		11	23	0.0268031	1	NaN
57.1455	0	128		128	23	NaN	NaN	NaN
57.9541	0	124		124	23	NaN	NaN	NaN
59.2148	0.05	11		11	24	0.0224912	0	NaN
59.2539	0	128		128	24	NaN	NaN	NaN
60.3877	0	125		125	24	NaN	NaN	NaN
61.623	0	32		32	25	NaN	0	NaN
61.6621	0	128		128	25	NaN	NaN	NaN
62.8984	0	125	ﮙ	125	25	NaN	NaN	NaN
64.417	0.05	21	6.596400e+04	21	26	0.023793	1	NaN
64.4561	0	128	6.600400e+04	128	26	NaN	NaN	NaN
65.25	0	124	6.681700e+04	124	26	NaN	NaN	NaN
66.458	0.05	21	6.805400e+04	21	27	0.0229986	0	NaN
66.4971	0	128	6.809400e+04	128	27	NaN	NaN	NaN
67.3018	0	125	6.891800e+04	125	27	NaN	NaN	NaN
68.5322	0	31	7.017800e+04	31	28	NaN	0	NaN
68.5713	0	128	7.021800e+04	128	28	NaN	NaN	NaN
69.3643	0	125	7.103000e+04	125	28	NaN	NaN	NaN
70.5898	0.05	21	7.228500e+04	21	29	0.0214334	1	NaN
70.6289	0	128	7.232500e+04	128	29	NaN	NaN	NaN
71.5488	0	124	7.326700e+04	124	29	NaN	NaN	NaN
72.832	0.05	21	7.458100e+04	21	30	0.0224625	1	1
72.8711	0	128	7.462100e+04	128	30	NaN	NaN	NaN
73.5928	0	124	7.536000e+04	124	30	NaN	NaN	NaN
74.6816	0	121	7.647500e+04	121	30	NaN	NaN	NaN
76.0439	0.05	21	7.787000e+04	21	31	0.0211676	0	1
76.083	0	128	7.791000e+04	128	31	NaN	NaN	NaN
77.0439	0	125	7.889400e+04	125	31	NaN	NaN	NaN
78.3369	0	121	8.021800e+04	121	31	NaN	NaN	NaN
79.8076	0	32	8.172400e+04	32	32	NaN	0	NaN
79.8467	0	128	8.176400e+04	128	32	NaN	NaN	NaN
80.9336	0	125	8.287700e+04	125	32	NaN	NaN	NaN
82.3672	0.05	21	8.434500e+04	21	33	0.0219809	1	1
82.4062	0	128	8.438500e+04	128	33	NaN	NaN	NaN
83.3232	0	124	8.532400e+04	124	33	NaN	NaN	NaN
84.5928	0	121	8.662400e+04	121	33	NaN	NaN	NaN
85.9805	0.05	12	8.804500e+04	12	34	0.0244229	0	NaN
86.0195	0	128	8.808500e+04	128	34	NaN	NaN	NaN
87.3467	0	125	8.944400e+04	125	34	NaN	NaN	NaN
88.7578	0.05	11	9.088900e+04	11	35	0.0253023	1	NaN
88.7969	0	128	9.092900e+04	128	35	NaN	NaN	NaN
89.5967	0	124	9.174800e+04	124	35	NaN	NaN	NaN
90.9492	0.05	11	9.313300e+04	11	36	0.0255416	1	1
