onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
121.487	0	128	1.244040e+05	128	0	NaN	NaN	NaN
122.597	0.05	21	1.255400e+05	21	1	0.0327259	1	NaN
122.643	0	128	1.255870e+05	128	1	NaN	NaN	NaN
123.626	0	124	1.265940e+05	124	1	NaN	NaN	NaN
125.131	0.05	21	1.281350e+05	21	2	0.0336035	1	1
125.169	0	128	1.281740e+05	128	2	NaN	NaN	NaN
126.411	0	124	1.294460e+05	124	2	NaN	NaN	NaN
132.813	0	121	1.360020e+05	121	2	NaN	NaN	NaN
134.164	0.05	22	1.373850e+05	22	3	0.0308441	0	NaN
134.202	0	128	1.374240e+05	128	3	NaN	NaN	NaN
136.14	0	125	1.394080e+05	125	3	NaN	NaN	NaN
137.609	0.05	11	1.409130e+05	11	4	0.0293919	1	NaN
137.648	0	128	1.409530e+05	128	4	NaN	NaN	NaN
138.938	0	124	1.422730e+05	124	4	NaN	NaN	NaN
140.403	0.05	22	1.437740e+05	22	5	0.0304922	1	2
140.442	0	128	1.438140e+05	128	5	NaN	NaN	NaN
142.382	0	124	1.458000e+05	124	5	NaN	NaN	NaN
144.175	0	122	1.476360e+05	122	5	NaN	NaN	NaN
145.64	0	31	1.491360e+05	31	6	NaN	0	NaN
145.679	0	128	1.491760e+05	128	6	NaN	NaN	NaN
146.995	0	125	1.505240e+05	125	6	NaN	NaN	NaN
148.232	0.05	11	1.517910e+05	11	7	0.0289337	1	NaN
148.271	0	128	1.518310e+05	128	7	NaN	NaN	NaN
149.187	0	124	1.527680e+05	124	7	NaN	NaN	NaN
150.625	0.05	11	1.542410e+05	11	8	0.0254349	0	NaN
150.663	0	128	1.542800e+05	128	8	NaN	NaN	NaN
151.656	0	125	1.552970e+05	125	8	NaN	NaN	NaN
153.034	0.05	22	1.567080e+05	22	9	0.0310414	1	NaN
153.072	0	128	1.567470e+05	128	9	NaN	NaN	NaN
154.09	0	124	1.577890e+05	124	9	NaN	NaN	NaN
155.493	0.05	21	1.592260e+05	21	10	0.0304264	1	NaN
155.531	0	128	1.592650e+05	128	10	NaN	NaN	NaN
156.743	0	124	1.605060e+05	124	10	NaN	NaN	NaN
158.019	0.05	12	1.618120e+05	12	11	0.0247416	1	NaN
158.058	0	128	1.618520e+05	128	11	NaN	NaN	NaN
159.998	0	124	1.638390e+05	124	11	NaN	NaN	NaN
161.482	0.05	12	1.653590e+05	12	12	0.0253358	0	NaN
161.521	0	128	1.653980e+05	128	12	NaN	NaN	NaN
162.776	0	125	1.666840e+05	125	12	NaN	NaN	NaN
164.075	0.05	11	1.680140e+05	11	13	0.0253298	1	NaN
164.113	0	128	1.680530e+05	128	13	NaN	NaN	NaN
165.291	0	124	1.692590e+05	124	13	NaN	NaN	NaN
166.567	0.05	21	1.705660e+05	21	14	0.0289956	1	NaN
166.606	0	128	1.706060e+05	128	14	NaN	NaN	NaN
168.231	0	124	1.722700e+05	124	14	NaN	NaN	NaN
169.763	0.05	22	1.738380e+05	22	15	0.0290061	1	NaN
169.801	0	128	1.738770e+05	128	15	NaN	NaN	NaN
172.114	0	124	1.762460e+05	124	15	NaN	NaN	NaN
173.326	0.05	21	1.774870e+05	21	16	0.0256782	0	NaN
173.364	0	128	1.775260e+05	128	16	NaN	NaN	NaN
175.999	0	125	1.802240e+05	125	16	NaN	NaN	NaN
177.19	0.05	21	1.814440e+05	21	17	0.0279111	0	NaN
177.229	0	128	1.814830e+05	128	17	NaN	NaN	NaN
178.737	0	125	1.830280e+05	125	17	NaN	NaN	NaN
180.101	0.05	21	1.844240e+05	21	18	0.0279298	1	NaN
180.14	0	128	1.844640e+05	128	18	NaN	NaN	NaN
181.601	0	124	1.859600e+05	124	18	NaN	NaN	NaN
182.812	0.05	21	1.872000e+05	21	19	0.0281921	0	NaN
182.85	0	128	1.872390e+05	128	19	NaN	NaN	NaN
184.284	0	125	1.887080e+05	125	19	NaN	NaN	NaN
185.872	0	32	1.903340e+05	32	20	NaN	0	NaN
185.911	0	128	1.903740e+05	128	20	NaN	NaN	NaN
188.875	0	125	1.934090e+05	125	20	NaN	NaN	NaN
190.289	0.05	12	1.948570e+05	12	21	0.0260012	0	NaN
190.327	0	128	1.948960e+05	128	21	NaN	NaN	NaN
191.413	0	125	1.960080e+05	125	21	NaN	NaN	NaN
192.865	0	32	1.974950e+05	32	22	NaN	0	NaN
192.903	0	128	1.975340e+05	128	22	NaN	NaN	NaN
194.05	0	125	1.987080e+05	125	22	NaN	NaN	NaN
195.375	0.05	22	2.000650e+05	22	23	0.0270799	1	NaN
195.413	0	128	2.001040e+05	128	23	NaN	NaN	NaN
196.729	0	124	2.014520e+05	124	23	NaN	NaN	NaN
198.118	0.05	11	2.028740e+05	11	24	0.0278577	0	NaN
198.156	0	128	2.029130e+05	128	24	NaN	NaN	NaN
202.081	0	125	2.069320e+05	125	24	NaN	NaN	NaN
203.287	0.05	12	2.081670e+05	12	25	0.0278261	1	NaN
203.326	0	128	2.082070e+05	128	25	NaN	NaN	NaN
205.577	0	124	2.105120e+05	124	25	NaN	NaN	NaN
206.851	0.05	22	2.118160e+05	22	26	0.0268528	1	2
206.889	0	128	2.118550e+05	128	26	NaN	NaN	NaN
208.64	0	124	2.136480e+05	124	26	NaN	NaN	NaN
212.459	0	122	2.175590e+05	122	26	NaN	NaN	NaN
213.894	0.05	21	2.190280e+05	21	27	0.0256174	0	1
213.932	0	128	2.190670e+05	128	27	NaN	NaN	NaN
215.979	0	125	2.211630e+05	125	27	NaN	NaN	NaN
218.717	0	121	2.239670e+05	121	27	NaN	NaN	NaN
219.832	0.05	21	2.251090e+05	21	28	0.026137	1	NaN
219.87	0	128	2.251480e+05	128	28	NaN	NaN	NaN
221.249	0	124	2.265600e+05	124	28	NaN	NaN	NaN
222.559	0.05	22	2.279010e+05	22	29	0.02507	0	NaN
222.598	0	128	2.279410e+05	128	29	NaN	NaN	NaN
223.69	0	125	2.290600e+05	125	29	NaN	NaN	NaN
225.219	0	31	2.306250e+05	31	30	NaN	0	NaN
225.257	0	128	2.306640e+05	128	30	NaN	NaN	NaN
227.486	0	125	2.329470e+05	125	30	NaN	NaN	NaN
228.898	0.05	12	2.343930e+05	12	31	0.0267461	0	NaN
228.938	0	128	2.344330e+05	128	31	NaN	NaN	NaN
231.286	0	125	2.368380e+05	125	31	NaN	NaN	NaN
232.83	0.05	21	2.384190e+05	21	32	0.0291778	0	NaN
232.869	0	128	2.384590e+05	128	32	NaN	NaN	NaN
235.518	0	125	2.411710e+05	125	32	NaN	NaN	NaN
237.046	0.05	22	2.427360e+05	22	33	0.0266019	0	NaN
237.085	0	128	2.427760e+05	128	33	NaN	NaN	NaN
239.3	0	125	2.450440e+05	125	33	NaN	NaN	NaN
240.575	0.05	21	2.463500e+05	21	34	0.028727	0	NaN
240.614	0	128	2.463900e+05	128	34	NaN	NaN	NaN
243.33	0	125	2.491710e+05	125	34	NaN	NaN	NaN
244.892	0.05	22	2.507700e+05	22	35	0.0306647	0	NaN
244.931	0	128	2.508100e+05	128	35	NaN	NaN	NaN
247.354	0	125	2.532910e+05	125	35	NaN	NaN	NaN
248.723	0.05	21	2.546930e+05	21	36	0.0302159	1	NaN
248.761	0	128	2.547320e+05	128	36	NaN	NaN	NaN
250.706	0	124	2.567240e+05	124	36	NaN	NaN	NaN
252.235	0.05	12	2.582900e+05	12	37	0.0263955	0	NaN
252.274	0	128	2.583300e+05	128	37	NaN	NaN	NaN
254.712	0	125	2.608260e+05	125	37	NaN	NaN	NaN
256.083	0	32	2.622300e+05	32	38	NaN	0	NaN
256.122	0	128	2.622700e+05	128	38	NaN	NaN	NaN
257.896	0	125	2.640860e+05	125	38	NaN	NaN	NaN
259.312	0.05	12	2.655360e+05	12	39	0.0268751	0	NaN
259.351	0	128	2.655760e+05	128	39	NaN	NaN	NaN
261.048	0	125	2.673140e+05	125	39	NaN	NaN	NaN
262.239	0.05	11	2.685340e+05	11	40	0.0283086	1	NaN
262.278	0	128	2.685740e+05	128	40	NaN	NaN	NaN
264.678	0	124	2.710310e+05	124	40	NaN	NaN	NaN
266.154	0.05	21	2.725430e+05	21	41	0.0309133	0	NaN
266.192	0	128	2.725820e+05	128	41	NaN	NaN	NaN
269.158	0	125	2.756190e+05	125	41	NaN	NaN	NaN
270.521	0.05	12	2.770140e+05	12	42	0.0279058	0	NaN
270.559	0	128	2.770530e+05	128	42	NaN	NaN	NaN
272.853	0	125	2.794020e+05	125	42	NaN	NaN	NaN
274.101	0.05	21	2.806800e+05	21	43	0.0313501	0	NaN
274.139	0	128	2.807190e+05	128	43	NaN	NaN	NaN
275.984	0	125	2.826090e+05	125	43	NaN	NaN	NaN
277.412	0.05	11	2.840710e+05	11	44	0.0289594	0	2
277.451	0	128	2.841110e+05	128	44	NaN	NaN	NaN
279.28	0	125	2.859840e+05	125	44	NaN	NaN	NaN
282.034	0	122	2.888040e+05	122	44	NaN	NaN	NaN
283.117	0.05	21	2.899130e+05	21	45	0.0319407	0	NaN
283.155	0	128	2.899520e+05	128	45	NaN	NaN	NaN
284.938	0	125	2.917770e+05	125	45	NaN	NaN	NaN
286.496	0.05	12	2.933730e+05	12	46	0.0274417	0	NaN
286.552	0	128	2.934300e+05	128	46	NaN	NaN	NaN
287.881	0	125	2.947910e+05	125	46	NaN	NaN	NaN
289.34	0.05	12	2.962850e+05	12	47	0.0280913	0	NaN
289.379	0	128	2.963250e+05	128	47	NaN	NaN	NaN
292.231	0	125	2.992460e+05	125	47	NaN	NaN	NaN
293.539	0.05	21	3.005850e+05	21	48	0.0318822	1	NaN
293.577	0	128	3.006240e+05	128	48	NaN	NaN	NaN
296.079	0	124	3.031860e+05	124	48	NaN	NaN	NaN
297.57	0.05	22	3.047130e+05	22	49	0.0305169	0	NaN
297.609	0	128	3.047530e+05	128	49	NaN	NaN	NaN
300.679	0	125	3.078960e+05	125	49	NaN	NaN	NaN
302.121	0.05	11	3.093730e+05	11	50	0.0311287	0	NaN
302.159	0	128	3.094120e+05	128	50	NaN	NaN	NaN
305.009	0	125	3.123300e+05	125	50	NaN	NaN	NaN
306.32	0.05	22	3.136730e+05	22	51	0.0331741	0	1
306.358	0	128	3.137120e+05	128	51	NaN	NaN	NaN
307.875	0	125	3.152650e+05	125	51	NaN	NaN	NaN
311.714	0	121	3.191960e+05	121	51	NaN	NaN	NaN
313.012	0.05	22	3.205250e+05	22	52	0.0338186	0	NaN
313.05	0	128	3.205640e+05	128	52	NaN	NaN	NaN
314.352	0	125	3.218970e+05	125	52	NaN	NaN	NaN
315.571	0.05	12	3.231460e+05	12	53	0.0299034	0	NaN
315.609	0	128	3.231850e+05	128	53	NaN	NaN	NaN
318.521	0	125	3.261660e+05	125	53	NaN	NaN	NaN
319.987	0.05	22	3.276680e+05	22	54	0.0339362	0	NaN
320.025	0	128	3.277070e+05	128	54	NaN	NaN	NaN
322.606	0	125	3.303500e+05	125	54	NaN	NaN	NaN
324.17	0.05	22	3.319510e+05	22	55	0.035312	0	NaN
324.208	0	128	3.319900e+05	128	55	NaN	NaN	NaN
327.351	0	125	3.352080e+05	125	55	NaN	NaN	NaN
328.72	0.05	12	3.366100e+05	12	56	0.0317397	0	2
328.759	0	128	3.366500e+05	128	56	NaN	NaN	NaN
332.15	0	125	3.401230e+05	125	56	NaN	NaN	NaN
335.142	0	122	3.431860e+05	122	56	NaN	NaN	NaN
336.382	0.05	21	3.444560e+05	21	57	0.034559	1	NaN
336.437	0	128	3.445120e+05	128	57	NaN	NaN	NaN
337.423	0	124	3.455220e+05	124	57	NaN	NaN	NaN
338.975	0.05	12	3.471110e+05	12	58	0.0338123	0	NaN
339.013	0	128	3.471500e+05	128	58	NaN	NaN	NaN
340.287	0	125	3.484550e+05	125	58	NaN	NaN	NaN
341.483	0.05	11	3.496800e+05	11	59	0.0332481	0	NaN
341.522	0	128	3.497200e+05	128	59	NaN	NaN	NaN
343.66	0	125	3.519090e+05	125	59	NaN	NaN	NaN
345.214	0	31	3.535000e+05	31	60	NaN	0	NaN
345.253	0	128	3.535400e+05	128	60	NaN	NaN	NaN
346.684	0	125	3.550050e+05	125	60	NaN	NaN	NaN
348.158	0.05	11	3.565150e+05	11	61	0.036636	0	NaN
348.197	0	128	3.565550e+05	128	61	NaN	NaN	NaN
351.038	0	125	3.594640e+05	125	61	NaN	NaN	NaN
352.559	0.05	11	3.610210e+05	11	62	0.033978	1	NaN
352.597	0	128	3.610600e+05	128	62	NaN	NaN	NaN
353.674	0	124	3.621630e+05	124	62	NaN	NaN	NaN
355.201	0.05	21	3.637270e+05	21	63	0.0348813	1	NaN
355.24	0	128	3.637670e+05	128	63	NaN	NaN	NaN
356.395	0	124	3.649490e+05	124	63	NaN	NaN	NaN
357.627	0.05	11	3.662110e+05	11	64	0.036975	0	NaN
357.666	0	128	3.662510e+05	128	64	NaN	NaN	NaN
360.974	0	125	3.696380e+05	125	64	NaN	NaN	NaN
362.462	0.05	12	3.711620e+05	12	65	0.0361992	0	2
362.5	0	128	3.712010e+05	128	65	NaN	NaN	NaN
363.816	0	125	3.725490e+05	125	65	NaN	NaN	NaN
365.373	0	122	3.741430e+05	122	65	NaN	NaN	NaN
366.694	0.05	22	3.754960e+05	22	66	0.0369421	0	NaN
366.732	0	128	3.755350e+05	128	66	NaN	NaN	NaN
368.967	0	125	3.778230e+05	125	66	NaN	NaN	NaN
370.357	0.05	12	3.792470e+05	12	67	0.0377989	1	NaN
370.396	0	128	3.792870e+05	128	67	NaN	NaN	NaN
373.012	0	124	3.819650e+05	124	67	NaN	NaN	NaN
374.322	0.05	11	3.833070e+05	11	68	0.036013	0	1
374.361	0	128	3.833470e+05	128	68	NaN	NaN	NaN
375.753	0	125	3.847720e+05	125	68	NaN	NaN	NaN
378.466	0	121	3.875500e+05	121	68	NaN	NaN	NaN
379.608	0.05	11	3.887200e+05	11	69	0.0366925	0	NaN
379.647	0	128	3.887600e+05	128	69	NaN	NaN	NaN
382.128	0	125	3.913000e+05	125	69	NaN	NaN	NaN
383.439	0.05	21	3.926430e+05	21	70	0.035802	1	NaN
383.479	0	128	3.926830e+05	128	70	NaN	NaN	NaN
384.782	0	124	3.940180e+05	124	70	NaN	NaN	NaN
386.25	0.05	22	3.955210e+05	22	71	0.03644	1	NaN
386.289	0	128	3.955610e+05	128	71	NaN	NaN	NaN
387.544	0	124	3.968460e+05	124	71	NaN	NaN	NaN
388.943	0.05	11	3.982790e+05	11	72	0.0370923	0	NaN
388.982	0	128	3.983190e+05	128	72	NaN	NaN	NaN
391.077	0	125	4.004640e+05	125	72	NaN	NaN	NaN
392.523	0.05	22	4.019450e+05	22	73	0.0342501	1	NaN
392.562	0	128	4.019840e+05	128	73	NaN	NaN	NaN
394.716	0	124	4.041900e+05	124	73	NaN	NaN	NaN
396.204	0.05	12	4.057140e+05	12	74	0.0388985	0	NaN
396.242	0	128	4.057530e+05	128	74	NaN	NaN	NaN
402.056	0	125	4.117060e+05	125	74	NaN	NaN	NaN
403.297	0.05	21	4.129770e+05	21	75	0.03544	0	NaN
403.335	0	128	4.130160e+05	128	75	NaN	NaN	NaN
405.47	0	125	4.152020e+05	125	75	NaN	NaN	NaN
406.859	0.05	12	4.166250e+05	12	76	0.0371457	0	NaN
406.898	0	128	4.166650e+05	128	76	NaN	NaN	NaN
408.797	0	125	4.186090e+05	125	76	NaN	NaN	NaN
410.272	0	32	4.201200e+05	32	77	NaN	0	NaN
410.312	0	128	4.201600e+05	128	77	NaN	NaN	NaN
411.704	0	125	4.215860e+05	125	77	NaN	NaN	NaN
412.999	0	32	4.229120e+05	32	78	NaN	0	NaN
413.038	0	128	4.229520e+05	128	78	NaN	NaN	NaN
414.857	0	125	4.248150e+05	125	78	NaN	NaN	NaN
416.379	0.05	22	4.263730e+05	22	79	0.0357512	0	NaN
416.417	0	128	4.264120e+05	128	79	NaN	NaN	NaN
417.669	0	125	4.276940e+05	125	79	NaN	NaN	NaN
419.139	0.05	21	4.291990e+05	21	80	0.032671	0	NaN
419.178	0	128	4.292390e+05	128	80	NaN	NaN	NaN
420.86	0	125	4.309620e+05	125	80	NaN	NaN	NaN
422.184	0.05	21	4.323170e+05	21	81	0.0360355	1	NaN
422.222	0	128	4.323560e+05	128	81	NaN	NaN	NaN
424.763	0	124	4.349580e+05	124	81	NaN	NaN	NaN
426.182	0.05	12	4.364110e+05	12	82	0.0402358	0	NaN
426.221	0	128	4.364510e+05	128	82	NaN	NaN	NaN
427.947	0	125	4.382190e+05	125	82	NaN	NaN	NaN
429.478	0.05	12	4.397860e+05	12	83	0.0397774	0	1
429.516	0	128	4.398250e+05	128	83	NaN	NaN	NaN
431.877	0	125	4.422430e+05	125	83	NaN	NaN	NaN
434.173	0	121	4.445940e+05	121	83	NaN	NaN	NaN
435.365	0.05	11	4.458150e+05	11	84	0.0415811	1	NaN
435.404	0	128	4.458550e+05	128	84	NaN	NaN	NaN
436.676	0	124	4.471570e+05	124	84	NaN	NaN	NaN
437.875	0	32	4.483850e+05	32	85	NaN	0	NaN
437.914	0	128	4.484250e+05	128	85	NaN	NaN	NaN
439.301	0	125	4.498450e+05	125	85	NaN	NaN	NaN
440.719	0.05	11	4.512970e+05	11	86	0.0430128	0	1
440.758	0	128	4.513370e+05	128	86	NaN	NaN	NaN
443.246	0	125	4.538850e+05	125	86	NaN	NaN	NaN
445.474	0	121	4.561660e+05	121	86	NaN	NaN	NaN
446.775	0.05	12	4.574990e+05	12	87	0.0417299	0	NaN
446.83	0	128	4.575550e+05	128	87	NaN	NaN	NaN
450.355	0	125	4.611650e+05	125	87	NaN	NaN	NaN
451.659	0.05	12	4.625000e+05	12	88	0.0427023	0	NaN
451.698	0	128	4.625400e+05	128	88	NaN	NaN	NaN
453.423	0	125	4.643060e+05	125	88	NaN	NaN	NaN
454.972	0.05	21	4.658920e+05	21	89	0.0354777	1	NaN
455.011	0	128	4.659320e+05	128	89	NaN	NaN	NaN
456.838	0	124	4.678030e+05	124	89	NaN	NaN	NaN
458.401	0.05	21	4.694040e+05	21	90	0.0355617	1	NaN
458.44	0	128	4.694440e+05	128	90	NaN	NaN	NaN
