onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
5.7832	0	128	ᜣ	128	0	NaN	NaN	NaN
7.0957	0.2	2	ᱣ	2	1	NaN	NaN	NaN
7.15723	0	128	Ტ	128	1	NaN	NaN	NaN
7.86621	0.05	103	ὸ	103	1	0.0362769	1	NaN
7.92578	0	128	᾵	128	1	NaN	NaN	NaN
8.95703	0	124	⏕	124	1	NaN	NaN	NaN
10.2822	0.2	1	⤢	1	2	NaN	NaN	NaN
10.335	0	128	⥘	128	2	NaN	NaN	NaN
11.1992	0.05	112	ⳍ	112	2	0.0291093	0	NaN
11.2383	0	128	⳵	128	2	NaN	NaN	NaN
12.4961	0	125	ㇽ	125	2	NaN	NaN	NaN
13.8125	0.2	2	㝁	2	3	NaN	NaN	NaN
13.8652	0	128	㝷	128	3	NaN	NaN	NaN
14.5449	0.05	113	㨯	113	3	0.0375939	1	NaN
14.584	0	128	㩗	128	3	NaN	NaN	NaN
15.4736	0	124	㷦	124	3	NaN	NaN	NaN
16.9238	0.2	1	䎳	1	4	NaN	NaN	NaN
16.9766	0	128	䏩	128	4	NaN	NaN	NaN
17.9072	0.05	112	䞢	112	4	0.0305163	0	NaN
17.9463	0	128	䟊	128	4	NaN	NaN	NaN
18.7881	0	125	䬨	125	4	NaN	NaN	NaN
20.2363	0.2	1	僳	1	5	NaN	NaN	NaN
20.2891	0	128	儩	128	5	NaN	NaN	NaN
21.2031	0.05	111	哑	111	5	0.0279451	1	NaN
21.2422	0	128	哹	128	5	NaN	NaN	NaN
22.1641	0	124	墩	124	5	NaN	NaN	NaN
23.498	0.2	1	巿	1	6	NaN	NaN	NaN
23.5508	0	128	帵	128	6	NaN	NaN	NaN
24.415	0.05	101	憪	101	6	0.026007	1	NaN
24.4541	0	128	懒	128	6	NaN	NaN	NaN
25.8174	0	124	杆	124	6	NaN	NaN	NaN
27.1777	0.2	1	沷	1	7	NaN	NaN	NaN
27.2314	0	128	泮	128	7	NaN	NaN	NaN
28.0117	0.05	111	瀍	111	7	0.0249201	1	NaN
28.0508	0	128	瀵	128	7	NaN	NaN	NaN
29.3164	0	124	畅	124	7	NaN	NaN	NaN
30.7754	0.2	2	笛	2	8	NaN	NaN	NaN
30.8281	0	128	筑	128	8	NaN	NaN	NaN
31.7754	0.05	114	缛	114	8	0.0374018	1	NaN
31.8145	0	128	罃	128	8	NaN	NaN	NaN
32.8506	0	124	荨	124	8	NaN	NaN	NaN
34.1709	0.2	2	袰	2	9	NaN	NaN	NaN
34.2236	0	128	裦	128	9	NaN	NaN	NaN
35.0547	0.05	103	谹	103	9	0.0375455	1	NaN
35.0938	0	128	象	128	9	NaN	NaN	NaN
36.1387	0	124	邏	124	9	NaN	NaN	NaN
