onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
11.1367	0	128	ⲍ	128	0	NaN	NaN	NaN
12.4639	0.2	2	㇜	2	1	NaN	NaN	NaN
12.5264	0	128	㈜	128	1	NaN	NaN	NaN
13.4414	0.05	21	㗅	21	1	0.00647222	0	2
13.4971	0	128	㗾	128	1	NaN	NaN	NaN
14.375	0	125	㦁	125	1	NaN	NaN	NaN
15.4082	0	122	㶣	122	1	NaN	NaN	NaN
16.7236	0.2	2	䋦	2	2	NaN	NaN	NaN
16.7754	0	128	䌛	128	2	NaN	NaN	NaN
17.4561	0.05	21	䗔	21	2	0.00643147	0	NaN
17.4951	0	128	䗼	128	2	NaN	NaN	NaN
18.2451	0	125	䣼	125	2	NaN	NaN	NaN
19.4512	0.2	1	䷏	1	3	NaN	NaN	NaN
19.5029	0	128	丄	128	3	NaN	NaN	NaN
20.2666	0.05	11	儒	11	3	0.0340893	1	NaN
20.3057	0	128	儺	128	3	NaN	NaN	NaN
21.0107	0	124	同	124	3	NaN	NaN	NaN
22.2441	0.2	2	壻	2	4	NaN	NaN	NaN
22.2959	0	128	夰	128	4	NaN	NaN	NaN
23.0938	0.05	21	屡	21	4	0.00927207	0	2
23.1494	0	128	岚	128	4	NaN	NaN	NaN
24.1201	0	125	恼	125	4	NaN	NaN	NaN
25.0127	0	122	搎	122	4	NaN	NaN	NaN
26.1758	0.2	2	梵	2	5	NaN	NaN	NaN
26.2275	0	128	棪	128	5	NaN	NaN	NaN
27.1084	0.05	21	汰	21	5	0.0106643	0	NaN
27.1475	0	128	沘	128	5	NaN	NaN	NaN
28.9268	0	125	玶	125	5	NaN	NaN	NaN
30.3408	0.2	1	神	1	6	NaN	NaN	NaN
30.3936	0	128	禔	128	6	NaN	NaN	NaN
31.1064	0.05	11	籮	11	6	0.0349908	1	NaN
31.1455	0	128	粖	128	6	NaN	NaN	NaN
31.9238	0	124	羳	124	6	NaN	NaN	NaN
33.1846	0.2	1	蒾	1	7	NaN	NaN	NaN
33.2373	0	128	蓴	128	7	NaN	NaN	NaN
34.0508	0.05	11	蠵	11	7	0.0330484	1	NaN
34.0898	0	128	衝	128	7	NaN	NaN	NaN
34.9297	0	124	讹	124	7	NaN	NaN	NaN
36.1621	0.2	1	邧	1	8	NaN	NaN	NaN
36.2148	0	128	郝	128	8	NaN	NaN	NaN
36.8945	0.05	11	鎕	11	8	0.0320951	1	NaN
36.9336	0	128	鎽	128	8	NaN	NaN	NaN
38.0957	0	124	顣	124	8	NaN	NaN	NaN
39.4912	0.2	1	鷸	1	9	NaN	NaN	NaN
39.5439	0	128	鸮	128	9	NaN	NaN	NaN
40.4414	0.05	12	ꇅ	12	9	0.030875	1	NaN
40.4971	0	128	ꇾ	128	9	NaN	NaN	NaN
41.5342	0	124	꘤	124	9	NaN	NaN	NaN
43.0879	0.2	2	걛	2	10	NaN	NaN	NaN
43.1406	0	128	겑	128	10	NaN	NaN	NaN
43.9043	0.05	22	꾟	22	10	0.0117425	0	NaN
43.9434	0	128	꿇	128	10	NaN	NaN	NaN
44.9824	0	125	돯	125	10	NaN	NaN	NaN
46.417	0.2	1	리	1	11	NaN	NaN	NaN
46.4697	0	128	맢	128	11	NaN	NaN	NaN
47.2002	0.05	12	볎	12	11	0.0290167	1	NaN
47.2383	0	128	복	128	11	NaN	NaN	NaN
48.0791	0	124	쁒	124	11	NaN	NaN	NaN
49.5283	0.2	1	옞	1	12	NaN	NaN	NaN
49.5811	0	128	왔	128	12	NaN	NaN	NaN
50.2617	0.05	11	줍	11	12	0.0300992	1	1
50.2998	0	128	줴	128	12	NaN	NaN	NaN
51.1182	0	124	챺	124	12	NaN	NaN	NaN
53.5879	0	121	홛	121	12	NaN	NaN	NaN
54.8154	0.2	1	�	1	13	NaN	NaN	NaN
54.8672	0	128	�	128	13	NaN	NaN	NaN
55.5479	0.05	11	�	11	13	0.027524	1	1
55.5859	0	128	�	128	13	NaN	NaN	NaN
56.5117	0	124		124	13	NaN	NaN	NaN
57.4746	0	121		121	13	NaN	NaN	NaN
58.6963	0.2	2		2	14	NaN	NaN	NaN
58.748	0	128		128	14	NaN	NaN	NaN
59.6797	0.05	21		21	14	0.0129019	0	NaN
59.7188	0	128		128	14	NaN	NaN	NaN
60.502	0	125		125	14	NaN	NaN	NaN
61.707	0.2	2		2	15	NaN	NaN	NaN
61.7598	0	128		128	15	NaN	NaN	NaN
62.4902	0.05	22	立	22	15	0.0131236	0	NaN
62.5283	0	128	羽	128	15	NaN	NaN	NaN
