onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
4.18066	0	128	Ⴚ	128	0	NaN	NaN	NaN
5.27637	0.2	1	ᔜ	1	1	NaN	NaN	NaN
5.33594	0	128	ᕙ	128	1	NaN	NaN	NaN
6.10547	0.05	102	ᡭ	102	1	0.0314957	1	NaN
6.17188	0	128	ᢱ	128	1	NaN	NaN	NaN
7.0791	0	124	᱒	124	1	NaN	NaN	NaN
8.5459	0.2	2	∰	2	2	NaN	NaN	NaN
8.59766	0	128	≥	128	2	NaN	NaN	NaN
9.3623	0.05	114	╴	114	2	0.021293	0	NaN
9.40039	0	128	▛	128	2	NaN	NaN	NaN
10.3584	0	125	⥰	125	2	NaN	NaN	NaN
11.874	0.2	1	⾀	1	3	NaN	NaN	NaN
11.9268	0	128	⾶	128	3	NaN	NaN	NaN
12.7578	0.05	112	㌉	112	3	0.0296875	0	NaN
12.7969	0	128	㌱	128	3	NaN	NaN	NaN
13.9561	0	125	㟔	125	3	NaN	NaN	NaN
15.2705	0.2	2	㴖	2	4	NaN	NaN	NaN
15.3232	0	128	㵌	128	4	NaN	NaN	NaN
16.2705	0.05	114	䄖	114	4	0.0221198	1	NaN
16.3096	0	128	䄾	128	4	NaN	NaN	NaN
17.084	0	124	䑗	124	4	NaN	NaN	NaN
18.3154	0.2	1	䥄	1	5	NaN	NaN	NaN
18.3682	0	128	䥺	128	5	NaN	NaN	NaN
19.2656	0.05	111	䴑	111	5	0.0299897	0	NaN
19.3037	0	128	䴸	128	5	NaN	NaN	NaN
20.3867	0	125	再	125	5	NaN	NaN	NaN
21.8447	0.2	2	坢	2	6	NaN	NaN	NaN
21.8975	0	128	垘	128	6	NaN	NaN	NaN
22.6113	0.05	113	婳	113	6	0.02187	1	NaN
22.6504	0	128	媛	128	6	NaN	NaN	NaN
23.459	0	124	巗	124	6	NaN	NaN	NaN
24.9736	0.2	2	揦	2	7	NaN	NaN	NaN
25.0254	0	128	搛	128	7	NaN	NaN	NaN
25.6895	0.05	114	曃	114	7	0.0190945	1	NaN
25.7285	0	128	曫	128	7	NaN	NaN	NaN
26.9912	0	124	毸	124	7	NaN	NaN	NaN
28.4365	0.2	2	燀	2	8	NaN	NaN	NaN
28.4883	0	128	燵	128	8	NaN	NaN	NaN
29.1855	0.05	103	璿	103	8	0.0209618	1	NaN
29.2246	0	128	瓧	128	8	NaN	NaN	NaN
30.125	0	124	碁	124	8	NaN	NaN	NaN
31.3643	0.2	1	絶	1	9	NaN	NaN	NaN
31.416	0	128	綫	128	9	NaN	NaN	NaN
32.3477	0.05	101	腥	101	9	0.0263538	1	NaN
32.3857	0	128	膌	128	9	NaN	NaN	NaN
33.4111	0	124	薦	124	9	NaN	NaN	NaN
34.7432	0.2	1	諺	1	10	NaN	NaN	NaN
34.7949	0	128	謯	128	10	NaN	NaN	NaN
35.6426	0.05	112	躓	112	10	0.0277754	1	NaN
35.6816	0	128	躻	128	10	NaN	NaN	NaN
36.7109	0	124	鋙	124	10	NaN	NaN	NaN
38.1562	0.2	1	颡	1	11	NaN	NaN	NaN
38.208	0	128	飖	128	11	NaN	NaN	NaN
38.9053	0.05	111	鮠	111	11	0.0285445	0	NaN
38.9434	0	128	鯇	128	11	NaN	NaN	NaN
40.46	0	125	ꇘ	125	11	NaN	NaN	NaN
41.8525	0.2	2	Ꝫ	2	12	NaN	NaN	NaN
41.9053	0	128	Ꞡ	128	12	NaN	NaN	NaN
42.8525	0.05	103	꭪	103	12	0.020091	1	NaN
42.8916	0	128	ꮒ	128	12	NaN	NaN	NaN
43.7705	0	124	꼖	124	12	NaN	NaN	NaN
45.3486	0.2	1	땦	1	13	NaN	NaN	NaN
45.4014	0	128	떜	128	13	NaN	NaN	NaN
46.0986	0.05	102	롦	102	13	0.0278152	0	NaN
46.1367	0	128	뢍	128	13	NaN	NaN	NaN
47.6602	0	125	뺥	125	13	NaN	NaN	NaN
48.9463	0.2	2	쏊	2	14	NaN	NaN	NaN
48.998	0	128	쏿	128	14	NaN	NaN	NaN
49.8125	0.05	104	읁	104	14	0.0206826	0	NaN
49.8506	0	128	읨	128	14	NaN	NaN	NaN
51.0342	0	125	찤	125	14	NaN	NaN	NaN
52.5752	0.2	2	퉎	2	15	NaN	NaN	NaN
52.6279	0	128	튄	128	15	NaN	NaN	NaN
53.3926	0	99	햓	99	15	NaN	0	NaN
53.4307	0	128	햺	128	15	NaN	NaN	NaN
54.5439	0	125	�	125	15	NaN	NaN	NaN
55.8711	0.2	1	�	1	16	NaN	NaN	NaN
55.9238	0	128	�	128	16	NaN	NaN	NaN
56.7217	0.05	102		102	16	0.0288163	0	NaN
56.7598	0	128		128	16	NaN	NaN	NaN
58.6123	0	125		125	16	NaN	NaN	NaN
59.8535	0.2	2		2	17	NaN	NaN	NaN
59.9053	0	128		128	17	NaN	NaN	NaN
60.5859	0.05	113		113	17	0.020422	0	NaN
60.624	0	128		128	17	NaN	NaN	NaN
61.7607	0	125		125	17	NaN	NaN	NaN
62.9814	0.2	2	ﯮ	2	18	NaN	NaN	NaN
63.0332	0	128	ﰣ	128	18	NaN	NaN	NaN
63.7812	0.05	113	Ａ	113	18	0.019671	1	NaN
63.8193	0	128	ｈ	128	18	NaN	NaN	NaN
64.9873	0	124	6.654800e+04	124	18	NaN	NaN	NaN
66.4775	0.2	2	6.807400e+04	2	19	NaN	NaN	NaN
66.5303	0	128	6.812800e+04	128	19	NaN	NaN	NaN
67.2607	0.05	103	6.887600e+04	103	19	0.021072	0	NaN
67.2988	0	128	6.891500e+04	128	19	NaN	NaN	NaN
68.6885	0	125	7.033800e+04	125	19	NaN	NaN	NaN
