onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
6.61914	0	128	᩻	128	0	NaN	NaN	NaN
7.81152	0.05	12	ὀ	12	1	0.0244456	1	NaN
7.875	0	128	ᾁ	128	1	NaN	NaN	NaN
8.75684	0	124	⌈	124	1	NaN	NaN	NaN
10.3291	0.05	11	⥒	11	2	0.0259916	1	NaN
10.3672	0	128	⥹	128	2	NaN	NaN	NaN
11.1445	0	124	ⲕ	124	2	NaN	NaN	NaN
12.3525	0.05	22	ㅪ	22	3	0.0196496	0	NaN
12.3916	0	128	㆒	128	3	NaN	NaN	NaN
13.2344	0	125	㓱	125	3	NaN	NaN	NaN
14.7617	0.05	11	㬍	11	4	0.0225803	0	NaN
14.8008	0	128	㬵	128	4	NaN	NaN	NaN
15.7061	0	125	㻔	125	4	NaN	NaN	NaN
17.1875	0.05	12	䓁	12	5	0.0248764	0	NaN
17.2256	0	128	䓨	128	5	NaN	NaN	NaN
18.0371	0	125	䠧	125	5	NaN	NaN	NaN
19.5127	0	32	与	32	6	NaN	0	NaN
19.5518	0	128	丶	128	6	NaN	NaN	NaN
20.1465	0	125	傗	125	6	NaN	NaN	NaN
21.6709	0.05	22	嚰	22	7	0.0211011	0	NaN
21.709	0	128	囗	128	7	NaN	NaN	NaN
22.5801	0	125	婓	125	7	NaN	NaN	NaN
24.1631	0.05	21	您	21	8	0.0207727	0	NaN
24.2021	0	128	惐	128	8	NaN	NaN	NaN
24.8008	0	125	挵	125	8	NaN	NaN	NaN
26.3887	0.05	22	榏	22	9	0.0210346	0	NaN
26.4268	0	128	榶	128	9	NaN	NaN	NaN
27.5439	0	125	渮	125	9	NaN	NaN	NaN
29.0146	0.05	22	琐	22	10	0.0227004	0	NaN
29.0537	0	128	琸	128	10	NaN	NaN	NaN
30.0693	0	125	硈	125	10	NaN	NaN	NaN
31.624	0.05	11	纀	11	11	0.0243074	0	NaN
31.6631	0	128	纨	128	11	NaN	NaN	NaN
32.5713	0	125	艊	125	11	NaN	NaN	NaN
34.0332	0	32	蠣	32	12	NaN	0	NaN
34.0889	0	128	衜	128	12	NaN	NaN	NaN
35.4492	0	125	跍	125	12	NaN	NaN	NaN
36.8438	0.05	11	鍡	11	13	0.0270589	1	NaN
36.8994	0	128	鎚	128	13	NaN	NaN	NaN
37.875	0	124	鞁	124	13	NaN	NaN	NaN
39.1689	0.05	12	鲮	12	14	0.0244928	1	NaN
39.208	0	128	鳖	128	14	NaN	NaN	NaN
40.0859	0	124	ꁙ	124	14	NaN	NaN	NaN
41.4443	0	31	ꗈ	31	15	NaN	0	NaN
41.4824	0	128	ꗯ	128	15	NaN	NaN	NaN
42.3867	0	125	ꦍ	125	15	NaN	NaN	NaN
43.6855	0.05	22	꺿	22	16	0.0244031	0	NaN
43.7246	0	128	껧	128	16	NaN	NaN	NaN
44.668	0	125	늭	125	16	NaN	NaN	NaN
45.877	0.05	11	랃	11	17	0.0246494	0	2
45.916	0	128	랫	128	17	NaN	NaN	NaN
47.3477	0	125	뵥	125	17	NaN	NaN	NaN
48.3604	0	122	셲	122	17	NaN	NaN	NaN
49.792	0.05	11	윬	11	18	0.0247039	0	NaN
49.8301	0	128	읓	128	18	NaN	NaN	NaN
50.7422	0	125	쫹	125	18	NaN	NaN	NaN
52.168	0	31	킭	31	19	NaN	0	NaN
52.2061	0	128	탔	128	19	NaN	NaN	NaN
53.0078	0	125	퐉	125	19	NaN	NaN	NaN
54.4258	0.05	11	�	11	20	0.0252039	0	2
54.4639	0	128	�	128	20	NaN	NaN	NaN
55.208	0	125	�	125	20	NaN	NaN	NaN
56.1035	0	122		122	20	NaN	NaN	NaN
57.4375	0.05	21		21	21	0.0266072	1	NaN
57.4756	0	128		128	21	NaN	NaN	NaN
58.293	0	124		124	21	NaN	NaN	NaN
59.5781	0.05	11		11	22	0.0264058	1	NaN
59.6172	0	128		128	22	NaN	NaN	NaN
60.8711	0	124		124	22	NaN	NaN	NaN
62.2881	0.05	12	廊	12	23	0.0249753	1	NaN
62.3271	0	128	縷	128	23	NaN	NaN	NaN
63.3154	0	124	﵄	124	23	NaN	NaN	NaN
64.7305	0.05	11	6.628500e+04	11	24	0.0217829	0	NaN
64.7695	0	128	6.632500e+04	128	24	NaN	NaN	NaN
