onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
0.176758	0.05	103	¶	103	1	0.0162121	1	NaN
0.241211	0	128	ø	128	1	NaN	NaN	NaN
0.991211	0	124	ϸ	124	1	NaN	NaN	NaN
2.43066	0.2	2	঺	2	2	NaN	NaN	NaN
2.4834	0	128	ৰ	128	2	NaN	NaN	NaN
3.36426	0.05	103	൶	103	2	0.0176035	1	NaN
3.40332	0	128	ඞ	128	2	NaN	NaN	NaN
4.19141	0	124	Ⴥ	124	2	NaN	NaN	NaN
5.67578	0.2	1	ᚵ	1	3	NaN	NaN	NaN
5.72852	0	128	᛫	128	3	NaN	NaN	NaN
6.62598	0.05	112	᪂	112	3	0.0316633	0	NaN
6.66504	0	128	᪪	128	3	NaN	NaN	NaN
7.45996	0	125	ᷘ	125	3	NaN	NaN	NaN
8.87109	0.2	1	⍽	1	4	NaN	NaN	NaN
8.92383	0	128	⎳	128	4	NaN	NaN	NaN
9.83789	0.05	102	❛	102	4	0.0317854	1	NaN
9.87695	0	128	➃	128	4	NaN	NaN	NaN
10.6631	0	124	⪨	124	4	NaN	NaN	NaN
11.8652	0.2	2	⽷	2	5	NaN	NaN	NaN
11.918	0	128	⾭	128	5	NaN	NaN	NaN
12.665	0.05	104	㊪	104	5	0.0175996	1	NaN
12.7041	0	128	㋒	128	5	NaN	NaN	NaN
13.4355	0	124	㖿	124	5	NaN	NaN	NaN
14.8594	0.2	1	㭱	1	6	NaN	NaN	NaN
14.9131	0	128	㮨	128	6	NaN	NaN	NaN
15.626	0.05	111	㺂	111	6	0.0297989	1	2
15.665	0	128	㺪	128	6	NaN	NaN	NaN
16.5352	0	124	䈥	124	6	NaN	NaN	NaN
17.2617	0	122	䔍	122	6	NaN	NaN	NaN
18.4736	0.2	1	䧦	1	7	NaN	NaN	NaN
18.5264	0	128	䨜	128	7	NaN	NaN	NaN
19.29	0.05	112	䴪	112	7	0.0277071	1	NaN
19.3457	0	128	䵣	128	7	NaN	NaN	NaN
20.0117	0	124	倍	124	7	NaN	NaN	NaN
21.4014	0.2	2	喜	2	8	NaN	NaN	NaN
21.4531	0	128	嗑	128	8	NaN	NaN	NaN
22.4014	0.05	113	妜	113	8	0.0160179	1	NaN
22.4404	0	128	姄	128	8	NaN	NaN	NaN
23.2139	0	124	峜	124	8	NaN	NaN	NaN
24.7803	0.2	1	挠	1	9	NaN	NaN	NaN
24.833	0	128	捖	128	9	NaN	NaN	NaN
