name	type	units	sampling_frequency
Cz	EEG	µV	1024
CCPz	EEG	µV	1024
CPz	EEG	µV	1024
CPPz	EEG	µV	1024
P1	EEG	µV	1024
CPP3h	EEG	µV	1024
CPP3	EEG	µV	1024
PPO3	EEG	µV	1024
PPO5	EEG	µV	1024
PO7	EEG	µV	1024
PO9h	EEG	µV	1024
PO9	EEG	µV	1024
I1	EEG	µV	1024
OI1	EEG	µV	1024
O1	EEG	µV	1024
POO5	EEG	µV	1024
PO3h	EEG	µV	1024
PPO1	EEG	µV	1024
Pz	EEG	µV	1024
PPOz	EEG	µV	1024
POz	EEG	µV	1024
POOz	EEG	µV	1024
Oz	EEG	µV	1024
OIz	EEG	µV	1024
Iz	EEG	µV	1024
I2	EEG	µV	1024
OI2	EEG	µV	1024
O2	EEG	µV	1024
POO6	EEG	µV	1024
PO4h	EEG	µV	1024
PPO2	EEG	µV	1024
P2	EEG	µV	1024
C2h	EEG	µV	1024
CCP2h	EEG	µV	1024
CPP4h	EEG	µV	1024
CPP4	EEG	µV	1024
PPO4	EEG	µV	1024
PPO6	EEG	µV	1024
PO8	EEG	µV	1024
PO10h	EEG	µV	1024
PO10	EEG	µV	1024
P10	EEG	µV	1024
P8	EEG	µV	1024
P6	EEG	µV	1024
CPP6h	EEG	µV	1024
TP8	EEG	µV	1024
TP8h	EEG	µV	1024
CP6	EEG	µV	1024
CP6h	EEG	µV	1024
CCP4	EEG	µV	1024
CCP2	EEG	µV	1024
C2	EEG	µV	1024
C4h	EEG	µV	1024
C4	EEG	µV	1024
C6h	EEG	µV	1024
C6	EEG	µV	1024
T8h	EEG	µV	1024
T8	EEG	µV	1024
FT8	EEG	µV	1024
FT8h	EEG	µV	1024
FC6	EEG	µV	1024
FC6h	EEG	µV	1024
FC4	EEG	µV	1024
FC4h	EEG	µV	1024
FCC2h	EEG	µV	1024
FCC2	EEG	µV	1024
FFC4h	EEG	µV	1024
FFC4	EEG	µV	1024
FFC6h	EEG	µV	1024
F6	EEG	µV	1024
F8	EEG	µV	1024
AF8	EEG	µV	1024
AFF6	EEG	µV	1024
AFF6h	EEG	µV	1024
FFC2	EEG	µV	1024
F2	EEG	µV	1024
AFF2	EEG	µV	1024
AFF4h	EEG	µV	1024
AF4	EEG	µV	1024
Fp2	EEG	µV	1024
Fpz	EEG	µV	1024
AFpz	EEG	µV	1024
AFz	EEG	µV	1024
AFFz	EEG	µV	1024
Fz	EEG	µV	1024
FFCz	EEG	µV	1024
FCz	EEG	µV	1024
FFC1	EEG	µV	1024
F1	EEG	µV	1024
AFF1	EEG	µV	1024
AFF3h	EEG	µV	1024
AF3	EEG	µV	1024
Fp1	EEG	µV	1024
AF7	EEG	µV	1024
AFF5	EEG	µV	1024
AFF5h	EEG	µV	1024
FCC1h	EEG	µV	1024
FCC1	EEG	µV	1024
FFC3h	EEG	µV	1024
FFC3	EEG	µV	1024
FFC5h	EEG	µV	1024
F5	EEG	µV	1024
F7	EEG	µV	1024
FT7	EEG	µV	1024
FT7h	EEG	µV	1024
FC5	EEG	µV	1024
FC5h	EEG	µV	1024
FC3	EEG	µV	1024
FC3h	EEG	µV	1024
C1	EEG	µV	1024
C1h	EEG	µV	1024
CCP1h	EEG	µV	1024
CCP1	EEG	µV	1024
C3h	EEG	µV	1024
C3	EEG	µV	1024
C5h	EEG	µV	1024
C5	EEG	µV	1024
T7h	EEG	µV	1024
T7	EEG	µV	1024
TP7	EEG	µV	1024
TP7h	EEG	µV	1024
CP5	EEG	µV	1024
CP5h	EEG	µV	1024
CCP3	EEG	µV	1024
CPP5h	EEG	µV	1024
P5	EEG	µV	1024
P7	EEG	µV	1024
P9	EEG	µV	1024
VEOG1	OTHER	unknown	1024
VEOG2	OTHER	unknown	1024
HEOG1	OTHER	unknown	1024
HEOG2	OTHER	unknown	1024
EXG1	OTHER	unknown	1024
EXG2	OTHER	unknown	1024
EXG3	OTHER	unknown	1024
EXG4	OTHER	unknown	1024
GSR1	OTHER	unknown	1024
GSR2	OTHER	unknown	1024
Erg1	OTHER	unknown	1024
Erg2	OTHER	unknown	1024
Resp	OTHER	unknown	1024
Plet	OTHER	unknown	1024
Temp	OTHER	unknown	1024
Status	OTHER	unknown	1024
