onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
5.77637	0	128	᜜	128	0	NaN	NaN	NaN
6.92676	0.05	12	᮶	12	1	0.0278332	1	NaN
6.98242	0	128	ᯯ	128	1	NaN	NaN	NaN
7.77246	0	124	Ἐ	124	1	NaN	NaN	NaN
8.9502	0.05	21	⏎	21	2	0.0260295	1	NaN
8.98926	0	128	⏶	128	2	NaN	NaN	NaN
9.87695	0	124	➃	124	2	NaN	NaN	NaN
11.2422	0.05	12	⳹	12	3	0.0271107	0	NaN
11.2812	0	128	ⴡ	128	3	NaN	NaN	NaN
11.9111	0	125	⾦	125	3	NaN	NaN	NaN
13.2002	0	32	㓎	32	4	NaN	0	NaN
13.2383	0	128	㓵	128	4	NaN	NaN	NaN
14.0703	0	125	㡉	125	4	NaN	NaN	NaN
15.541	0.05	22	㸫	22	5	0.026293	0	NaN
15.5811	0	128	㹔	128	5	NaN	NaN	NaN
16.542	0	125	䈬	125	5	NaN	NaN	NaN
17.8506	0.05	11	䝨	11	6	0.0271198	0	NaN
17.8896	0	128	䞐	128	6	NaN	NaN	NaN
18.748	0	125	䫿	125	6	NaN	NaN	NaN
20.3096	0.05	12	儾	12	7	0.02687	0	NaN
20.3486	0	128	兦	128	7	NaN	NaN	NaN
21.1445	0	125	咕	125	7	NaN	NaN	NaN
22.5342	0.05	22	娤	22	8	0.0240945	1	NaN
22.5732	0	128	婌	128	8	NaN	NaN	NaN
23.4375	0	124	巁	124	8	NaN	NaN	NaN
24.7256	0.05	12	拨	12	9	0.0269618	0	NaN
24.7646	0	128	挐	128	9	NaN	NaN	NaN
25.623	0	125	晿	125	9	NaN	NaN	NaN
26.8164	0.05	12	歅	12	10	0.027091	0	NaN
26.8555	0	128	歭	128	10	NaN	NaN	NaN
27.752	0	125	漃	125	10	NaN	NaN	NaN
29.1592	0.05	21	璤	21	11	0.0256875	0	NaN
29.1982	0	128	瓌	128	11	NaN	NaN	NaN
30.1162	0	125	硸	125	11	NaN	NaN	NaN
31.5508	0.05	12	縵	12	12	0.0299897	0	NaN
31.5898	0	128	繝	128	12	NaN	NaN	NaN
32.7783	0	125	茞	125	12	NaN	NaN	NaN
34.1611	0.05	21	袦	21	13	0.0256826	0	NaN
34.2002	0	128	裎	128	13	NaN	NaN	NaN
34.9062	0	125	计	125	13	NaN	NaN	NaN
36.4355	0.05	22	醿	22	14	0.025422	1	NaN
36.4746	0	128	釧	128	14	NaN	NaN	NaN
37.374	0	124	門	124	14	NaN	NaN	NaN
38.9287	0.05	12	鮸	12	15	0.0283538	0	NaN
38.9678	0	128	鯠	128	15	NaN	NaN	NaN
39.7656	0	125	鼑	125	15	NaN	NaN	NaN
41.0195	0.05	21	ꐕ	21	16	0.0267754	1	NaN
41.0586	0	128	ꐽ	128	16	NaN	NaN	NaN
41.9531	0	124	ꟑ	124	16	NaN	NaN	NaN
43.4121	0.05	12	궧	12	17	0.0325445	0	NaN
43.4512	0	128	귏	128	17	NaN	NaN	NaN
45.2197	0	125	듢	125	17	NaN	NaN	NaN
46.4727	0.05	22	맥	22	18	0.0262524	1	NaN
46.5127	0	128	먎	128	18	NaN	NaN	NaN
47.3105	0	124	봿	124	18	NaN	NaN	NaN
48.7314	0.05	22	싮	22	19	0.0235883	0	NaN
48.7705	0	128	쌖	128	19	NaN	NaN	NaN
49.6787	0	125	울	125	19	NaN	NaN	NaN
51.0566	0.05	11	찻	11	20	0.0323554	1	NaN
51.0957	0	128	챣	128	20	NaN	NaN	NaN
51.8877	0	124	쾎	124	20	NaN	NaN	NaN
53.2148	0	31	퓝	31	21	NaN	0	NaN
53.2539	0	128	픅	128	21	NaN	NaN	NaN
54.1592	0	125	�	125	21	NaN	NaN	NaN
55.708	0.05	22	�	22	22	0.0258163	0	NaN
55.7461	0	128	�	128	22	NaN	NaN	NaN
56.8184	0	125		125	22	NaN	NaN	NaN
58.0166	0	31		31	23	NaN	0	NaN
58.0547	0	128		128	23	NaN	NaN	NaN
58.998	0	125		125	23	NaN	NaN	NaN
60.2744	0.05	11		11	24	0.0339267	0	NaN
60.3135	0	128		128	24	NaN	NaN	NaN
61.2871	0	125		125	24	NaN	NaN	NaN
62.5332	0.05	21	﨣	21	25	0.0263771	1	2
62.5723	0	128	碑	128	25	NaN	NaN	NaN
63.5234	0	124	︙	124	25	NaN	NaN	NaN
64.5078	0	122	6.605700e+04	122	25	NaN	NaN	NaN
