onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
4.58301	0	128	ቖ	128	0	NaN	NaN	NaN
5.71582	0.05	11	ᛞ	11	1	0.0286603	1	NaN
5.75488	0	128	ᜆ	128	1	NaN	NaN	NaN
6.91016	0	124	ᮥ	124	1	NaN	NaN	NaN
8.1582	0.05	22	₣	22	2	0.0394625	0	1
8.19727	0	128	⃋	128	2	NaN	NaN	NaN
9.32812	0	125	║	125	2	NaN	NaN	NaN
13.5127	0	121	㘎	121	2	NaN	NaN	NaN
14.7832	0.05	21	㬣	21	3	0.039765	1	NaN
14.8223	0	128	㭋	128	3	NaN	NaN	NaN
16.4121	0	124	䆧	124	3	NaN	NaN	NaN
17.8105	0.05	21	䜿	21	4	0.0397754	1	NaN
17.8496	0	128	䝧	128	4	NaN	NaN	NaN
18.9336	0	124	䮽	124	4	NaN	NaN	NaN
20.4375	0.05	11	凁	11	5	0.0300873	0	1
20.4766	0	128	凩	128	5	NaN	NaN	NaN
22.5645	0	125	婃	125	5	NaN	NaN	NaN
27.1016	0	121	汩	121	5	NaN	NaN	NaN
28.4502	0	31	燎	31	6	NaN	0	NaN
28.4893	0	128	燶	128	6	NaN	NaN	NaN
29.8828	0	125	瞉	125	6	NaN	NaN	NaN
31.2109	0.05	12	糙	12	7	0.0292242	0	2
31.25	0	128	紁	128	7	NaN	NaN	NaN
32.3477	0	125	腥	125	7	NaN	NaN	NaN
34.9492	0	122	词	122	7	NaN	NaN	NaN
36.1455	0.05	11	邖	11	8	0.0292506	1	NaN
36.1846	0	128	邾	128	8	NaN	NaN	NaN
37.167	0	124	钬	124	8	NaN	NaN	NaN
38.5547	0.05	22	騹	22	9	0.0374925	0	NaN
38.5938	0	128	驡	128	9	NaN	NaN	NaN
40.9639	0	125	ꏜ	125	9	NaN	NaN	NaN
42.4863	0	32	꧳	32	10	NaN	0	NaN
42.5244	0	128	ꨚ	128	10	NaN	NaN	NaN
43.8037	0	125	꼸	125	10	NaN	NaN	NaN
45.0459	0.05	11	됰	11	11	0.0314673	1	NaN
45.084	0	128	둗	128	11	NaN	NaN	NaN
46.3145	0	124	륃	124	11	NaN	NaN	NaN
