onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
2.81934	0	128	ୈ	128	0	NaN	NaN	NaN
3.89355	0.2	1	ྔ	1	1	NaN	NaN	NaN
3.95898	0	128	࿗	128	1	NaN	NaN	NaN
4.66602	0.05	12	ካ	12	1	0.0148153	0	NaN
4.72754	0	128	ዪ	128	1	NaN	NaN	NaN
5.80664	0	125	᜻	125	1	NaN	NaN	NaN
7.15137	0.2	2	Ნ	2	2	NaN	NaN	NaN
7.2041	0	128	᳒	128	2	NaN	NaN	NaN
8.10156	0.05	21	⁩	21	2	0.0143922	0	NaN
8.14062	0	128	ₑ	128	2	NaN	NaN	NaN
9.23242	0	125	⓯	125	2	NaN	NaN	NaN
10.4307	0.2	2	⦺	2	3	NaN	NaN	NaN
10.4834	0	128	⧰	128	3	NaN	NaN	NaN
11.2803	0.05	22	ⴠ	22	3	0.014201	0	NaN
11.3193	0	128	ⵈ	128	3	NaN	NaN	NaN
12.1777	0	125	シ	125	3	NaN	NaN	NaN
13.6924	0.2	1	㛆	1	4	NaN	NaN	NaN
13.7451	0	128	㛼	128	4	NaN	NaN	NaN
14.458	0.05	12	㧖	12	4	0.0141668	1	NaN
14.4971	0	128	㧾	128	4	NaN	NaN	NaN
15.4727	0	124	㷥	124	4	NaN	NaN	NaN
16.9883	0.2	1	䏵	1	5	NaN	NaN	NaN
17.041	0	128	䐫	128	5	NaN	NaN	NaN
17.7871	0.05	11	䜧	11	5	0.0147953	0	NaN
17.8262	0	128	䝏	128	5	NaN	NaN	NaN
18.7715	0	125	䬗	125	5	NaN	NaN	NaN
20.1504	0.2	1	傛	1	6	NaN	NaN	NaN
20.2021	0	128	僐	128	6	NaN	NaN	NaN
20.9326	0	31	厼	31	6	NaN	0	NaN
20.9717	0	128	古	128	6	NaN	NaN	NaN
21.998	0	125	埿	125	6	NaN	NaN	NaN
23.4453	0.2	2	巉	2	7	NaN	NaN	NaN
23.498	0	128	巿	128	7	NaN	NaN	NaN
24.2451	0.05	21	惼	21	7	0.0148221	0	NaN
24.2842	0	128	愤	128	7	NaN	NaN	NaN
25.0137	0	125	搏	125	7	NaN	NaN	NaN
26.3066	0.2	2	椻	2	8	NaN	NaN	NaN
26.3584	0	128	楰	128	8	NaN	NaN	NaN
27.3232	0.05	22	浌	22	8	0.0184304	0	1
27.3623	0	128	浴	128	8	NaN	NaN	NaN
28.2773	0	125	焝	125	8	NaN	NaN	NaN
29.585	0	121	癘	121	8	NaN	NaN	NaN
30.9736	0.2	2	篦	2	9	NaN	NaN	NaN
31.0264	0	128	簜	128	9	NaN	NaN	NaN
31.8232	0.05	21	罌	21	9	0.0148901	0	NaN
31.8623	0	128	罴	128	9	NaN	NaN	NaN
32.7227	0	125	若	125	9	NaN	NaN	NaN
34.001	0.2	1	蠂	1	10	NaN	NaN	NaN
34.0537	0	128	蠸	128	10	NaN	NaN	NaN
