name	x	y	z	type	material
Cz	  0	  0	 88	EEG	Ag/AgCl
CCPz	-17	  0	 86	EEG	Ag/AgCl
CPz	-34	  0	 81	EEG	Ag/AgCl
CPPz	-50	  0	 72	EEG	Ag/AgCl
P1	-58	 24	 61	EEG	Ag/AgCl
CPP3h	-45	 45	 61	EEG	Ag/AgCl
CPP3	-52	 52	 47	EEG	Ag/AgCl
PPO3	-66	 48	 31	EEG	Ag/AgCl
PPO5	-70	 51	 14	EEG	Ag/AgCl
PO7	-71	 51	 -3	EEG	Ag/AgCl
PO9h	-69	 50	-20	EEG	Ag/AgCl
PO9	-64	 47	-37	EEG	Ag/AgCl
I1	-75	 25	-37	EEG	Ag/AgCl
OI1	-81	 26	-20	EEG	Ag/AgCl
O1	-83	 27	 -3	EEG	Ag/AgCl
POO5	-82	 27	 14	EEG	Ag/AgCl
PO3h	-78	 25	 31	EEG	Ag/AgCl
PPO1	-68	 28	 47	EEG	Ag/AgCl
Pz	-63	  0	 61	EEG	Ag/AgCl
PPOz	-74	  0	 47	EEG	Ag/AgCl
POz	-82	  0	 31	EEG	Ag/AgCl
POOz	-86	  0	 14	EEG	Ag/AgCl
Oz	-87	  0	 -3	EEG	Ag/AgCl
OIz	-85	  0	-20	EEG	Ag/AgCl
Iz	-79	  0	-37	EEG	Ag/AgCl
I2	-75	-25	-37	EEG	Ag/AgCl
OI2	-81	-26	-20	EEG	Ag/AgCl
O2	-83	-27	 -3	EEG	Ag/AgCl
POO6	-82	-27	 14	EEG	Ag/AgCl
PO4h	-78	-25	 31	EEG	Ag/AgCl
PPO2	-68	-28	 47	EEG	Ag/AgCl
P2	-58	-24	 61	EEG	Ag/AgCl
C2h	 -5	-17	 86	EEG	Ag/AgCl
CCP2h	-24	-24	 81	EEG	Ag/AgCl
CPP4h	-45	-45	 61	EEG	Ag/AgCl
CPP4	-52	-52	 47	EEG	Ag/AgCl
PPO4	-66	-48	 31	EEG	Ag/AgCl
PPO6	-70	-51	 14	EEG	Ag/AgCl
PO8	-71	-51	 -3	EEG	Ag/AgCl
PO10h	-69	-50	-20	EEG	Ag/AgCl
PO10	-64	-47	-37	EEG	Ag/AgCl
P10	-50	-69	-20	EEG	Ag/AgCl
P8	-51	-71	 -3	EEG	Ag/AgCl
P6	-51	-70	 14	EEG	Ag/AgCl
CPP6h	-48	-66	 31	EEG	Ag/AgCl
TP8	-27	-83	 -3	EEG	Ag/AgCl
TP8h	-27	-82	 14	EEG	Ag/AgCl
CP6	-25	-78	 31	EEG	Ag/AgCl
CP6h	-28	-68	 47	EEG	Ag/AgCl
CCP4	-24	-58	 61	EEG	Ag/AgCl
CCP2	-25	-43	 72	EEG	Ag/AgCl
C2	  0	-34	 81	EEG	Ag/AgCl
C4h	  0	-50	 72	EEG	Ag/AgCl
C4	  0	-63	 61	EEG	Ag/AgCl
C6h	  0	-74	 47	EEG	Ag/AgCl
C6	  0	-82	 31	EEG	Ag/AgCl
T8h	  0	-86	 14	EEG	Ag/AgCl
T8	  0	-87	 -3	EEG	Ag/AgCl
FT8	 27	-83	 -3	EEG	Ag/AgCl
FT8h	 27	-82	 14	EEG	Ag/AgCl
FC6	 25	-78	 31	EEG	Ag/AgCl
FC6h	 28	-68	 47	EEG	Ag/AgCl
FC4	 24	-58	 61	EEG	Ag/AgCl
FC4h	 25	-43	 72	EEG	Ag/AgCl
FCC2h	 14	-10	 86	EEG	Ag/AgCl
FCC2	 24	-24	 81	EEG	Ag/AgCl
FFC4h	 45	-45	 61	EEG	Ag/AgCl
FFC4	 52	-52	 47	EEG	Ag/AgCl
FFC6h	 48	-66	 31	EEG	Ag/AgCl
F6	 51	-70	 14	EEG	Ag/AgCl
F8	 51	-71	 -3	EEG	Ag/AgCl
AF8	 71	-51	 -3	EEG	Ag/AgCl
AFF6	 70	-51	 14	EEG	Ag/AgCl
AFF6h	 66	-48	 31	EEG	Ag/AgCl
FFC2	 43	-25	 72	EEG	Ag/AgCl
F2	 58	-24	 61	EEG	Ag/AgCl
AFF2	 68	-28	 47	EEG	Ag/AgCl
AFF4h	 78	-25	 31	EEG	Ag/AgCl
AF4	 82	-27	 14	EEG	Ag/AgCl
Fp2	 83	-27	 -3	EEG	Ag/AgCl
Fpz	 87	  0	 -3	EEG	Ag/AgCl
AFpz	 86	  0	 14	EEG	Ag/AgCl
AFz	 82	  0	 31	EEG	Ag/AgCl
AFFz	 74	  0	 47	EEG	Ag/AgCl
Fz	 63	  0	 61	EEG	Ag/AgCl
FFCz	 50	  0	 72	EEG	Ag/AgCl
FCz	 34	  0	 81	EEG	Ag/AgCl
FFC1	 43	 25	 72	EEG	Ag/AgCl
F1	 58	 24	 61	EEG	Ag/AgCl
AFF1	 68	 28	 47	EEG	Ag/AgCl
AFF3h	 78	 25	 31	EEG	Ag/AgCl
AF3	 82	 27	 14	EEG	Ag/AgCl
Fp1	 83	 27	 -3	EEG	Ag/AgCl
AF7	 71	 51	 -3	EEG	Ag/AgCl
AFF5	 70	 51	 14	EEG	Ag/AgCl
AFF5h	 66	 48	 31	EEG	Ag/AgCl
FCC1h	 14	 10	 86	EEG	Ag/AgCl
FCC1	 24	 24	 81	EEG	Ag/AgCl
FFC3h	 45	 45	 61	EEG	Ag/AgCl
FFC3	 52	 52	 47	EEG	Ag/AgCl
FFC5h	 48	 66	 31	EEG	Ag/AgCl
F5	 51	 70	 14	EEG	Ag/AgCl
F7	 51	 71	 -3	EEG	Ag/AgCl
FT7	 27	 83	 -3	EEG	Ag/AgCl
FT7h	 27	 82	 14	EEG	Ag/AgCl
FC5	 25	 78	 31	EEG	Ag/AgCl
FC5h	 28	 68	 47	EEG	Ag/AgCl
FC3	 24	 58	 61	EEG	Ag/AgCl
FC3h	 25	 43	 72	EEG	Ag/AgCl
C1	  0	 34	 81	EEG	Ag/AgCl
C1h	 -5	 17	 86	EEG	Ag/AgCl
CCP1h	-24	 24	 81	EEG	Ag/AgCl
CCP1	-25	 43	 72	EEG	Ag/AgCl
C3h	  0	 50	 72	EEG	Ag/AgCl
C3	  0	 63	 61	EEG	Ag/AgCl
C5h	  0	 74	 47	EEG	Ag/AgCl
C5	  0	 82	 31	EEG	Ag/AgCl
T7h	  0	 86	 14	EEG	Ag/AgCl
T7	  0	 87	 -3	EEG	Ag/AgCl
TP7	-27	 83	 -3	EEG	Ag/AgCl
TP7h	-27	 82	 14	EEG	Ag/AgCl
CP5	-25	 78	 31	EEG	Ag/AgCl
CP5h	-28	 68	 47	EEG	Ag/AgCl
CCP3	-24	 58	 61	EEG	Ag/AgCl
CPP5h	-48	 66	 31	EEG	Ag/AgCl
P5	-51	 70	 14	EEG	Ag/AgCl
P7	-51	 71	 -3	EEG	Ag/AgCl
P9	-50	 69	-20	EEG	Ag/AgCl
VEOG1	n/a	n/a	n/a	OTHER	Ag/AgCl
VEOG2	n/a	n/a	n/a	OTHER	Ag/AgCl
HEOG1	n/a	n/a	n/a	OTHER	Ag/AgCl
HEOG2	n/a	n/a	n/a	OTHER	Ag/AgCl
EXG1	n/a	n/a	n/a	OTHER	Ag/AgCl
EXG2	n/a	n/a	n/a	OTHER	Ag/AgCl
EXG3	n/a	n/a	n/a	OTHER	Ag/AgCl
EXG4	n/a	n/a	n/a	OTHER	Ag/AgCl
GSR1	n/a	n/a	n/a	OTHER	Ag/AgCl
GSR2	n/a	n/a	n/a	OTHER	Ag/AgCl
Erg1	n/a	n/a	n/a	OTHER	Ag/AgCl
Erg2	n/a	n/a	n/a	OTHER	Ag/AgCl
Resp	n/a	n/a	n/a	OTHER	Ag/AgCl
Plet	n/a	n/a	n/a	OTHER	Ag/AgCl
Temp	n/a	n/a	n/a	OTHER	Ag/AgCl
Status	n/a	n/a	n/a	OTHER	Ag/AgCl
