onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
5.58691	0	128	ᙚ	128	0	NaN	NaN	NaN
6.88965	0.2	1	ᮐ	1	1	NaN	NaN	NaN
6.95996	0	128	ᯘ	128	1	NaN	NaN	NaN
7.82812	0.05	102	ὑ	102	1	0.0563955	0	NaN
7.89648	0	128	ᾗ	128	1	NaN	NaN	NaN
9.07129	0	125	⑊	125	1	NaN	NaN	NaN
10.5039	0.2	2	⨅	2	2	NaN	NaN	NaN
10.5566	0	128	⨻	128	2	NaN	NaN	NaN
11.2197	0	99	Ⳣ	99	2	NaN	0	NaN
11.2588	0	128	ⴊ	128	2	NaN	NaN	NaN
12.5088	0	125	㈊	125	2	NaN	NaN	NaN
13.7158	0.2	2	㛞	2	3	NaN	NaN	NaN
13.7686	0	128	㜔	128	3	NaN	NaN	NaN
14.7158	0.05	113	㫞	113	3	0.0248751	0	NaN
14.7549	0	128	㬆	128	3	NaN	NaN	NaN
16.2246	0	125	䃧	125	3	NaN	NaN	NaN
17.7812	0.2	2	䜡	2	4	NaN	NaN	NaN
17.833	0	128	䝖	128	4	NaN	NaN	NaN
18.6309	0.05	104	䪇	104	4	0.0261922	0	NaN
18.6699	0	128	䪯	128	4	NaN	NaN	NaN
19.8252	0	125	低	125	4	NaN	NaN	NaN
21.3105	0.2	1	唿	1	5	NaN	NaN	NaN
21.3633	0	128	啵	128	5	NaN	NaN	NaN
22.043	0	98	堭	98	5	NaN	1	NaN
22.082	0	128	塕	128	5	NaN	NaN	NaN
23.0508	0	124	尵	124	5	NaN	NaN	NaN
24.3887	0.2	1	憏	1	6	NaN	NaN	NaN
24.4414	0	128	懅	128	6	NaN	NaN	NaN
25.1045	0.05	111	摬	111	6	0.0573086	1	NaN
25.1436	0	128	撔	128	6	NaN	NaN	NaN
26.9932	0	124	毺	124	6	NaN	NaN	NaN
28.4375	0.2	2	燁	2	7	NaN	NaN	NaN
28.4893	0	128	燶	128	7	NaN	NaN	NaN
29.3369	0.05	113	畚	113	7	0.0250953	0	NaN
29.376	0	128	疂	128	7	NaN	NaN	NaN
