onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
3.77832	0	128	༞	128	0	NaN	NaN	NaN
5.14551	0.05	21	ᒖ	21	1	0.0250109	1	NaN
5.20117	0	128	ᓏ	128	1	NaN	NaN	NaN
6.2959	0	124	ᤰ	124	1	NaN	NaN	NaN
7.57129	0.05	11	Ṋ	11	2	0.0294653	1	NaN
7.61035	0	128	Ṳ	128	2	NaN	NaN	NaN
8.39844	0	124	↙	124	2	NaN	NaN	NaN
9.92969	0.05	11	➹	11	3	0.028063	1	NaN
9.96875	0	128	⟡	128	3	NaN	NaN	NaN
11.3467	0	124	ⵤ	124	3	NaN	NaN	NaN
12.874	0.05	22	㎀	22	4	0.0245675	0	NaN
12.9131	0	128	㎨	128	4	NaN	NaN	NaN
13.9443	0	125	㟈	125	4	NaN	NaN	NaN
15.501	0.05	12	㸂	12	5	0.0276951	1	NaN
15.54	0	128	㸪	128	5	NaN	NaN	NaN
16.5186	0	124	䈔	124	5	NaN	NaN	NaN
18.1104	0.05	22	䡲	22	6	0.0224418	0	NaN
18.1494	0	128	䢚	128	6	NaN	NaN	NaN
19.1982	0	125	䳌	125	6	NaN	NaN	NaN
20.4355	0.05	11	冿	11	7	0.0280094	0	1
20.4746	0	128	凧	128	7	NaN	NaN	NaN
21.8711	0	125	坽	125	7	NaN	NaN	NaN
23.2744	0	121	崚	121	7	NaN	NaN	NaN
24.668	0.05	22	抭	22	8	0.0260708	1	NaN
24.707	0	128	拕	128	8	NaN	NaN	NaN
25.627	0	124	暃	124	8	NaN	NaN	NaN
26.8926	0.05	22	殓	22	9	0.0239243	0	2
26.9316	0	128	殻	128	9	NaN	NaN	NaN
28.3965	0	125	熗	125	9	NaN	NaN	NaN
29.375	0	122	疁	122	9	NaN	NaN	NaN
30.6396	0.05	21	窐	21	10	0.0232359	0	NaN
30.6797	0	128	窹	128	10	NaN	NaN	NaN
32.2686	0	125	脔	125	10	NaN	NaN	NaN
33.7686	0.05	11	蜔	11	11	0.0270352	0	NaN
33.8076	0	128	蜼	128	11	NaN	NaN	NaN
34.5107	0	125	訌	125	11	NaN	NaN	NaN
36.0605	0.05	11	逿	11	12	0.028685	1	1
36.0996	0	128	遧	128	12	NaN	NaN	NaN
36.9395	0	124	鏃	124	12	NaN	NaN	NaN
37.8535	0	121	靫	121	12	NaN	NaN	NaN
38.9873	0.05	22	鯴	22	13	0.0259767	1	NaN
39.0273	0	128	鰝	128	13	NaN	NaN	NaN
39.9941	0	124	鿻	124	13	NaN	NaN	NaN
41.3965	0.05	21	ꖗ	21	14	0.0229146	1	NaN
41.4355	0	128	ꖿ	128	14	NaN	NaN	NaN
42.4053	0	124	ꦠ	124	14	NaN	NaN	NaN
43.6045	0.05	12	깬	12	15	0.0308177	0	NaN
43.6436	0	128	꺔	128	15	NaN	NaN	NaN
44.9092	0	125	뎤	125	15	NaN	NaN	NaN
46.1309	0.05	22	뢇	22	16	0.0240318	0	NaN
46.1699	0	128	뢯	128	16	NaN	NaN	NaN
48.7031	0	125	싑	125	16	NaN	NaN	NaN
50.1797	0.05	21	좹	21	17	0.0242659	0	NaN
50.2188	0	128	죡	128	17	NaN	NaN	NaN
51.1953	0	125	쳉	125	17	NaN	NaN	NaN
52.4375	0.05	21	퇁	21	18	0.0250421	0	NaN
52.4766	0	128	퇩	128	18	NaN	NaN	NaN
53.4551	0	125	헓	125	18	NaN	NaN	NaN
54.7461	0.05	11	�	11	19	0.0287218	0	NaN
54.7852	0	128	�	128	19	NaN	NaN	NaN
55.8613	0	125	�	125	19	NaN	NaN	NaN
57.0713	0.05	21		21	20	0.0251051	1	NaN
57.1104	0	128		128	20	NaN	NaN	NaN
58.4336	0	124		124	20	NaN	NaN	NaN
59.6475	0.05	22		22	21	0.0255955	0	1
59.6865	0	128		128	21	NaN	NaN	NaN
62.0166	0	125		125	21	NaN	NaN	NaN
63.0576	0	121	ﰼ	121	21	NaN	NaN	NaN
64.4492	0.05	21	6.599700e+04	21	22	0.0238181	1	NaN
64.4883	0	128	6.603700e+04	128	22	NaN	NaN	NaN
66.4619	0	124	6.805800e+04	124	22	NaN	NaN	NaN
68.0293	0.05	22	6.966300e+04	22	23	0.0252971	1	NaN
68.0684	0	128	6.970300e+04	128	23	NaN	NaN	NaN
69.0371	0	124	7.069500e+04	124	23	NaN	NaN	NaN
70.2705	0.05	21	7.195800e+04	21	24	0.0243115	1	NaN
70.3096	0	128	7.199800e+04	128	24	NaN	NaN	NaN
71.4502	0	124	7.316600e+04	124	24	NaN	NaN	NaN
72.6631	0.05	21	7.440800e+04	21	25	0.022498	0	NaN
72.7021	0	128	7.444800e+04	128	25	NaN	NaN	NaN
73.9238	0	125	7.569900e+04	125	25	NaN	NaN	NaN
75.4902	0.05	21	7.730300e+04	21	26	0.0241035	0	NaN
75.5293	0	128	7.734300e+04	128	26	NaN	NaN	NaN
76.6748	0	125	7.851600e+04	125	26	NaN	NaN	NaN
78.2334	0.05	12	8.011200e+04	12	27	0.0306306	0	NaN
78.2725	0	128	8.015200e+04	128	27	NaN	NaN	NaN
79.6318	0	125	8.154400e+04	125	27	NaN	NaN	NaN
81.0273	0	32	8.297300e+04	32	28	NaN	0	NaN
81.0664	0	128	8.301300e+04	128	28	NaN	NaN	NaN
82.1172	0	125	8.408900e+04	125	28	NaN	NaN	NaN
83.3857	0.05	12	8.538800e+04	12	29	0.0278933	1	NaN
83.4248	0	128	8.542800e+04	128	29	NaN	NaN	NaN
84.3818	0	124	8.640800e+04	124	29	NaN	NaN	NaN
85.7451	0.05	22	8.780400e+04	22	30	0.0238312	0	1
85.7842	0	128	8.784400e+04	128	30	NaN	NaN	NaN
87.6943	0	125	8.980000e+04	125	30	NaN	NaN	NaN
88.584	0	121	9.071100e+04	121	30	NaN	NaN	NaN
89.8604	0.05	22	9.201800e+04	22	31	0.0250479	0	NaN
89.8994	0	128	9.205800e+04	128	31	NaN	NaN	NaN
91.5586	0	125	9.375700e+04	125	31	NaN	NaN	NaN
92.9209	0.05	21	9.515200e+04	21	32	0.0223512	0	NaN
92.9609	0	128	9.519300e+04	128	32	NaN	NaN	NaN
93.9248	0	125	9.618000e+04	125	32	NaN	NaN	NaN
95.4639	0.05	12	9.775600e+04	12	33	0.0298792	1	NaN
95.5029	0	128	9.779600e+04	128	33	NaN	NaN	NaN
97.2314	0	124	9.956600e+04	124	33	NaN	NaN	NaN
98.6426	0.05	11	1.010110e+05	11	34	0.0279361	0	NaN
98.6816	0	128	1.010510e+05	128	34	NaN	NaN	NaN
99.8096	0	125	1.022060e+05	125	34	NaN	NaN	NaN
101.202	0.05	11	1.036320e+05	11	35	0.0305082	0	NaN
101.241	0	128	1.036720e+05	128	35	NaN	NaN	NaN
102.365	0	125	1.048230e+05	125	35	NaN	NaN	NaN
103.762	0.05	22	1.062530e+05	22	36	0.0267261	1	NaN
103.801	0	128	1.062930e+05	128	36	NaN	NaN	NaN
104.774	0	124	1.072900e+05	124	36	NaN	NaN	NaN
106.07	0.05	11	1.086170e+05	11	37	0.0331086	1	NaN
106.109	0	128	1.086570e+05	128	37	NaN	NaN	NaN
107.092	0	124	1.096630e+05	124	37	NaN	NaN	NaN
108.295	0.05	12	1.108950e+05	12	38	0.0295432	0	2
108.334	0	128	1.109350e+05	128	38	NaN	NaN	NaN
109.951	0	125	1.125910e+05	125	38	NaN	NaN	NaN
110.835	0	122	1.134960e+05	122	38	NaN	NaN	NaN
112.109	0.05	12	1.148010e+05	12	39	0.0290953	1	NaN
112.148	0	128	1.148410e+05	128	39	NaN	NaN	NaN
113.191	0	124	1.159090e+05	124	39	NaN	NaN	NaN
114.636	0.05	11	1.173880e+05	11	40	0.029487	0	NaN
114.675	0	128	1.174280e+05	128	40	NaN	NaN	NaN
116.071	0	125	1.188580e+05	125	40	NaN	NaN	NaN
117.562	0	31	1.203850e+05	31	41	NaN	0	NaN
117.603	0	128	1.204260e+05	128	41	NaN	NaN	NaN
118.452	0	125	1.212960e+05	125	41	NaN	NaN	NaN
119.771	0.05	21	1.226470e+05	21	42	0.0263996	0	NaN
119.811	0	128	1.226870e+05	128	42	NaN	NaN	NaN
121.671	0	125	1.245920e+05	125	42	NaN	NaN	NaN
122.949	0.05	11	1.259010e+05	11	43	0.0302732	1	NaN
122.988	0	128	1.259410e+05	128	43	NaN	NaN	NaN
