onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
3.89941	0	125	ྚ	125	0	NaN	NaN	NaN
5.39258	0.2	1	ᖓ	1	1	NaN	NaN	NaN
5.44531	0	128	ᗉ	128	1	NaN	NaN	NaN
6.20898	0	31	ᣗ	31	1	NaN	0	NaN
6.24805	0	128	᣿	128	1	NaN	NaN	NaN
7.52148	0	125	ḗ	125	1	NaN	NaN	NaN
8.73828	0.2	1	⋵	1	2	NaN	NaN	NaN
8.79102	0	128	⌫	128	2	NaN	NaN	NaN
9.73828	0.05	12	⛵	12	2	0.0299908	1	NaN
9.77734	0	128	✝	128	2	NaN	NaN	NaN
10.5596	0	124	⨾	124	2	NaN	NaN	NaN
12.0342	0.2	1	〤	1	3	NaN	NaN	NaN
12.0869	0	128	ず	128	3	NaN	NaN	NaN
13.001	0.05	12	㐂	12	3	0.0290484	1	NaN
13.04	0	128	㐪	128	3	NaN	NaN	NaN
13.9951	0	124	㟼	124	3	NaN	NaN	NaN
15.5635	0.2	2	㹂	2	4	NaN	NaN	NaN
15.6162	0	128	㹸	128	4	NaN	NaN	NaN
16.4639	0.05	21	䇜	21	4	0.0250951	1	NaN
16.5029	0	128	䈄	128	4	NaN	NaN	NaN
17.5664	0	124	䙅	124	4	NaN	NaN	NaN
18.792	0.2	2	䬬	2	5	NaN	NaN	NaN
18.8447	0	128	䭢	128	5	NaN	NaN	NaN
19.709	0.05	22	仗	22	5	0.023875	1	NaN
19.748	0	128	仿	128	5	NaN	NaN	NaN
20.7451	0	124	勼	124	5	NaN	NaN	NaN
22.2715	0.2	2	夗	2	6	NaN	NaN	NaN
22.3242	0	128	奍	128	6	NaN	NaN	NaN
23.0879	0	32	屛	32	6	NaN	0	NaN
23.127	0	128	岃	128	6	NaN	NaN	NaN
24.0342	0	125	怤	125	6	NaN	NaN	NaN
25.333	0.2	2	敖	2	7	NaN	NaN	NaN
25.3857	0	128	斌	128	7	NaN	NaN	NaN
26.2002	0.05	22	棎	22	7	0.0220853	1	NaN
26.2393	0	128	棶	128	7	NaN	NaN	NaN
27.4414	0	124	淅	124	7	NaN	NaN	NaN
28.6455	0.2	1	犖	1	8	NaN	NaN	NaN
28.6982	0	128	狌	128	8	NaN	NaN	NaN
29.5625	0.05	11	癁	11	8	0.0293257	1	NaN
29.6016	0	128	癩	128	8	NaN	NaN	NaN
30.6895	0	124	竃	124	8	NaN	NaN	NaN
32.0918	0.2	2	聟	2	9	NaN	NaN	NaN
32.1445	0	128	肕	128	9	NaN	NaN	NaN
33.0254	0.05	22	萛	22	9	0.0214949	0	NaN
33.0645	0	128	葃	128	9	NaN	NaN	NaN
34.3506	0	125	襨	125	9	NaN	NaN	NaN
35.8555	0.2	1	轭	1	10	NaN	NaN	NaN
35.9082	0	128	辣	128	10	NaN	NaN	NaN
36.7559	0.05	11	錇	11	10	0.0269484	0	NaN
36.7949	0	128	錯	128	10	NaN	NaN	NaN
38.1904	0	125	飄	125	10	NaN	NaN	NaN
39.5859	0.2	2	鹙	2	11	NaN	NaN	NaN
39.6387	0	128	麏	128	11	NaN	NaN	NaN
40.5195	0	32	ꈕ	32	11	NaN	0	NaN
40.5586	0	128	ꈽ	128	11	NaN	NaN	NaN
41.5186	0	125	ꘔ	125	11	NaN	NaN	NaN
42.7812	0.2	2	ꬡ	2	12	NaN	NaN	NaN
42.834	0	128	ꭗ	128	12	NaN	NaN	NaN
43.5479	0.05	22	긲	22	12	0.0216216	0	NaN
43.5869	0	128	깚	128	12	NaN	NaN	NaN
44.4219	0	125	놱	125	12	NaN	NaN	NaN
45.7256	0.2	2	뛨	2	13	NaN	NaN	NaN
45.7783	0	128	뜞	128	13	NaN	NaN	NaN
46.5586	0.05	22	먽	22	13	0.0233491	0	NaN
46.5977	0	128	멥	128	13	NaN	NaN	NaN
47.9609	0	125	뿙	125	13	NaN	NaN	NaN
49.3896	0.2	2	얐	2	14	NaN	NaN	NaN
49.4424	0	128	없	128	14	NaN	NaN	NaN
50.1719	0.05	21	좱	21	14	0.0234007	0	2
50.2109	0	128	죙	128	14	NaN	NaN	NaN
51.1025	0	125	챪	125	14	NaN	NaN	NaN
53.0342	0	122	퐤	122	14	NaN	NaN	NaN
54.4248	0.2	1	�	1	15	NaN	NaN	NaN
54.4775	0	128	�	128	15	NaN	NaN	NaN
55.3916	0.05	11	�	11	15	0.0291358	1	NaN
55.4307	0	128	�	128	15	NaN	NaN	NaN
56.585	0	124		124	15	NaN	NaN	NaN
58.0049	0.2	2		2	16	NaN	NaN	NaN
58.0576	0	128		128	16	NaN	NaN	NaN
58.9043	0.05	21		21	16	0.0238363	0	NaN
58.9434	0	128		128	16	NaN	NaN	NaN
59.8721	0	125		125	16	NaN	NaN	NaN
61.166	0.2	1		1	17	NaN	NaN	NaN
61.2188	0	128		128	17	NaN	NaN	NaN
62.1162	0.05	12		12	17	0.0286499	NaN	NaN
62.1553	0	128		128	17	NaN	NaN	NaN
64.8975	0.2	2	6.645600e+04	2	18	NaN	NaN	NaN
64.9492	0	128	6.650900e+04	128	18	NaN	NaN	NaN
65.7295	0.05	22	6.730800e+04	22	18	0.0243288	NaN	NaN
65.7686	0	128	6.734800e+04	128	18	NaN	NaN	NaN
66.7568	0	124	6.836000e+04	124	18	NaN	NaN	NaN
68.3262	0.2	2	6.996700e+04	2	19	NaN	NaN	NaN
68.3789	0	128	7.002100e+04	128	19	NaN	NaN	NaN
69.2432	0.05	22	7.090600e+04	22	19	0.0232216	NaN	NaN
69.2822	0	128	7.094600e+04	128	19	NaN	NaN	NaN
70.3105	0	124	7.199900e+04	124	19	NaN	NaN	NaN
71.8564	0.2	1	7.358200e+04	1	20	NaN	NaN	NaN
71.9092	0	128	7.363600e+04	128	20	NaN	NaN	NaN
72.8232	0.05	12	7.457200e+04	12	20	0.0290624	NaN	NaN
