onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
5.10059	0	128	ᑨ	128	0	NaN	NaN	NaN
6.30762	0.2	2	᤼	2	1	NaN	NaN	NaN
6.40723	0	128	ᦢ	128	1	NaN	NaN	NaN
7.32031	0.05	103	ᵉ	103	1	0.0214304	1	NaN
7.37695	0	128	ᶃ	128	1	NaN	NaN	NaN
8.30273	0	124	ℷ	124	1	NaN	NaN	NaN
9.81836	0.2	1	❇	1	2	NaN	NaN	NaN
9.87012	0	128	❼	128	2	NaN	NaN	NaN
10.7344	0.05	112	⫱	112	2	0.0368221	0	2
10.7725	0	128	⬘	128	2	NaN	NaN	NaN
11.6641	0	125	⺩	125	2	NaN	NaN	NaN
13.3291	0	122	㕒	122	2	NaN	NaN	NaN
14.7021	0.2	2	㫐	2	3	NaN	NaN	NaN
14.7549	0	128	㬆	128	3	NaN	NaN	NaN
15.6025	0.05	114	㹪	114	3	0.0168901	1	NaN
15.6406	0	128	㺑	128	3	NaN	NaN	NaN
16.6523	0	124	䊝	124	3	NaN	NaN	NaN
18.0488	0.2	1	䠳	1	4	NaN	NaN	NaN
18.2002	0	128	䣎	128	4	NaN	NaN	NaN
19.1494	0.05	111	䲚	111	4	0.0370541	1	1
19.1875	0	128	䳁	128	4	NaN	NaN	NaN
20.0391	0	124	倩	124	4	NaN	NaN	NaN
21.9092	0	121	垤	121	4	NaN	NaN	NaN
23.418	0.2	2	嶭	2	5	NaN	NaN	NaN
23.4697	0	128	巢	128	5	NaN	NaN	NaN
24.1846	0	99	悾	99	5	NaN	0	NaN
24.2227	0	128	惥	128	5	NaN	NaN	NaN
24.9551	0	125	揓	125	5	NaN	NaN	NaN
26.2627	0.2	1	椎	1	6	NaN	NaN	NaN
26.3145	0	128	楃	128	6	NaN	NaN	NaN
27.1953	0.05	112	泉	112	6	0.0374773	1	NaN
27.2334	0	128	泰	128	6	NaN	NaN	NaN
28.1846	0	124	炾	124	6	NaN	NaN	NaN
29.6748	0.2	1	皴	1	7	NaN	NaN	NaN
29.7266	0	128	盩	128	7	NaN	NaN	NaN
30.4746	0.05	102	秧	102	7	0.0379811	0	1
30.5127	0	128	税	128	7	NaN	NaN	NaN
31.3418	0	125	絟	125	7	NaN	NaN	NaN
32.5811	0	121	艔	121	7	NaN	NaN	NaN
34.0244	0.2	1	蠚	1	8	NaN	NaN	NaN
34.0762	0	128	衏	128	8	NaN	NaN	NaN
34.79	0.05	111	謪	111	8	0.0353896	0	NaN
