onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
5.10059	0	128	ᑨ	128	0	NaN	NaN	NaN
6.45117	0.05	21	᧏	21	1	0.0347259	0	NaN
6.50684	0	128	ᨈ	128	1	NaN	NaN	NaN
7.44824	0	125	᷌	125	1	NaN	NaN	NaN
8.69238	0.05	22	⋆	22	2	0.0376035	0	1
8.73145	0	128	⋮	128	2	NaN	NaN	NaN
9.62012	0	125	♼	125	2	NaN	NaN	NaN
12.2412	0	121	ヸ	121	2	NaN	NaN	NaN
13.3604	0	32	㕲	32	3	NaN	0	NaN
13.3994	0	128	㖚	128	3	NaN	NaN	NaN
14.708	0	125	㫖	125	3	NaN	NaN	NaN
15.9697	0.05	21	㿢	21	4	0.0367388	0	NaN
16.0088	0	128	䀊	128	4	NaN	NaN	NaN
16.8486	0	125	䍦	125	4	NaN	NaN	NaN
18.1445	0.05	11	䢕	11	5	0.036052	1	NaN
18.1836	0	128	䢽	128	5	NaN	NaN	NaN
19.165	0	124	䲪	124	5	NaN	NaN	NaN
20.6533	0.05	12	办	12	6	0.0360125	0	NaN
20.6924	0	128	勆	128	6	NaN	NaN	NaN
21.751	0	125	圂	125	6	NaN	NaN	NaN
23.3301	0.05	12	嵓	12	7	0.0349333	0	NaN
23.3691	0	128	嵻	128	7	NaN	NaN	NaN
24.2256	0	125	惨	125	7	NaN	NaN	NaN
25.5381	0.05	11	昨	11	8	0.0361825	1	NaN
25.5771	0	128	晐	128	8	NaN	NaN	NaN
27.0879	0	124	汛	124	8	NaN	NaN	NaN
28.583	0.05	22	牖	22	9	0.0380983	1	NaN
28.6221	0	128	牾	128	9	NaN	NaN	NaN
30.4551	0	124	秓	124	9	NaN	NaN	NaN
31.7285	0.05	22	绫	22	10	0.0382323	1	NaN
31.7842	0	128	缤	128	10	NaN	NaN	NaN
33.2012	0	124	蓏	124	10	NaN	NaN	NaN
34.4883	0	31	觵	31	11	NaN	0	NaN
34.5273	0	128	訝	128	11	NaN	NaN	NaN
35.5293	0	125	踟	125	11	NaN	NaN	NaN
36.8135	0.05	11	鍂	11	12	0.0382294	1	1
36.8525	0	128	鍪	128	12	NaN	NaN	NaN
37.8838	0	124	鞊	124	12	NaN	NaN	NaN
40.542	0	121	ꈬ	121	12	NaN	NaN	NaN
41.7822	0.05	12	Ꜣ	12	13	0.0357219	1	NaN
41.8213	0	128	Ꝋ	128	13	NaN	NaN	NaN
42.8896	0	124	ꮐ	124	13	NaN	NaN	NaN
44.1582	0.05	21	낣	21	14	0.0357872	1	NaN
44.1963	0	128	냊	128	14	NaN	NaN	NaN
45.0625	0	124	둁	124	14	NaN	NaN	NaN
46.3496	0	32	륧	32	15	NaN	0	NaN
46.3887	0	128	릏	128	15	NaN	NaN	NaN
47.2715	0	125	봗	125	15	NaN	NaN	NaN
48.624	0.05	12	슀	12	16	0.0360061	1	NaN
48.6631	0	128	슨	128	16	NaN	NaN	NaN
49.5664	0	124	왅	124	16	NaN	NaN	NaN
51.1172	0.05	22	챹	22	17	0.0346782	0	NaN
51.1562	0	128	첡	128	17	NaN	NaN	NaN
52.3682	0	125	텺	125	17	NaN	NaN	NaN
53.7266	0	31	훩	31	18	NaN	0	NaN
53.7656	0	128	휑	128	18	NaN	NaN	NaN
54.6387	0	125	�	125	18	NaN	NaN	NaN
56.002	0.05	11		11	19	0.0343502	1	NaN
56.041	0	128		128	19	NaN	NaN	NaN
56.7607	0	124		124	19	NaN	NaN	NaN
58.3271	0.05	11		11	20	0.0323096	1	1
58.3662	0	128		128	20	NaN	NaN	NaN
59.4238	0	124		124	20	NaN	NaN	NaN
61.7539	0	121		121	20	NaN	NaN	NaN
62.8604	0.05	12	ﭲ	12	21	0.0300512	1	NaN
62.8994	0	128	ﮚ	128	21	NaN	NaN	NaN
63.7793	0	124	？	124	21	NaN	NaN	NaN
65.1357	0.05	22	6.670000e+04	22	22	0.0359292	1	2
65.1748	0	128	6.674000e+04	128	22	NaN	NaN	NaN
66.1074	0	124	6.769500e+04	124	22	NaN	NaN	NaN
66.9902	0	122	6.859900e+04	122	22	NaN	NaN	NaN
68.3477	0	31	6.998900e+04	31	23	NaN	0	NaN
68.3867	0	128	7.002900e+04	128	23	NaN	NaN	NaN
69.3926	0	125	7.105900e+04	125	23	NaN	NaN	NaN
70.9238	0.05	11	7.262700e+04	11	24	0.0314115	0	2
70.9629	0	128	7.266700e+04	128	24	NaN	NaN	NaN
72.3398	0	125	7.407700e+04	125	24	NaN	NaN	NaN
73.6699	0	122	7.543900e+04	122	24	NaN	NaN	NaN
75.1396	0.05	22	7.694400e+04	22	25	0.0361006	0	NaN
75.1787	0	128	7.698400e+04	128	25	NaN	NaN	NaN
76.9102	0	125	7.875700e+04	125	25	NaN	NaN	NaN
78.4854	0.05	12	8.037000e+04	12	26	0.0308681	1	2
78.5244	0	128	8.041000e+04	128	26	NaN	NaN	NaN
79.5557	0	124	8.146600e+04	124	26	NaN	NaN	NaN
80.335	0	122	8.226400e+04	122	26	NaN	NaN	NaN
81.4961	0.05	12	8.345300e+04	12	27	0.0297294	1	NaN
81.5352	0	128	8.349300e+04	128	27	NaN	NaN	NaN
82.3975	0	124	8.437600e+04	124	27	NaN	NaN	NaN
83.7041	0.05	12	8.571400e+04	12	28	0.0299851	1	NaN
83.7432	0	128	8.575400e+04	128	28	NaN	NaN	NaN
84.8115	0	124	8.684800e+04	124	28	NaN	NaN	NaN
