onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
3.75879	0.05	11	༊	11	1	0.021177	0	NaN
3.83203	0	128	ཕ	128	1	NaN	NaN	NaN
4.62891	0	125	ኅ	125	1	NaN	NaN	NaN
5.89941	0.05	12	រ	12	2	0.0225661	1	NaN
5.93945	0	128	ៃ	128	2	NaN	NaN	NaN
6.65723	0	124	᪢	124	2	NaN	NaN	NaN
7.87305	0.05	11	὿	11	3	0.0217087	0	NaN
7.91406	0	128	ᾩ	128	3	NaN	NaN	NaN
8.66699	0	125	⊬	125	3	NaN	NaN	NaN
10.082	0.05	21	⡕	21	4	0.0243272	1	NaN
10.1387	0	128	⢏	128	4	NaN	NaN	NaN
10.8486	0	124	⭦	124	4	NaN	NaN	NaN
12.2061	0.05	11	ピ	11	5	0.0219739	0	NaN
12.2461	0	128	ヽ	128	5	NaN	NaN	NaN
13.0156	0	125	㐑	125	5	NaN	NaN	NaN
14.498	0.05	22	㧿	22	6	0.024446	0	NaN
14.5381	0	128	㨨	128	6	NaN	NaN	NaN
15.3008	0	125	㴵	125	6	NaN	NaN	NaN
16.8906	0.05	22	䎑	22	7	0.0238862	1	NaN
16.9307	0	128	䎺	128	7	NaN	NaN	NaN
17.6211	0	124	䙽	124	7	NaN	NaN	NaN
19.0986	0.05	22	䱦	22	8	0.024326	0	NaN
19.1387	0	128	䲏	128	8	NaN	NaN	NaN
19.9023	0	125	依	125	8	NaN	NaN	NaN
21.4072	0.05	12	喢	12	9	0.0223222	0	NaN
21.4473	0	128	嗋	128	9	NaN	NaN	NaN
22.1934	0	125	壇	125	9	NaN	NaN	NaN
23.498	0.05	22	巿	22	10	0.0227826	0	NaN
23.5381	0	128	帨	128	10	NaN	NaN	NaN
24.4023	0	125	憝	125	10	NaN	NaN	NaN
25.9238	0.05	22	枳	22	11	0.0249921	1	NaN
25.9639	0	128	柜	128	11	NaN	NaN	NaN
26.7002	0	124	櫎	124	11	NaN	NaN	NaN
28.2656	0	32	焑	32	12	NaN	0	NaN
28.3057	0	128	焺	128	12	NaN	NaN	NaN
29.0615	0	125	瑀	125	12	NaN	NaN	NaN
30.6416	0.05	12	窒	12	13	0.0223426	1	NaN
