onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
4.14648	0.2	2	႗	2	1	NaN	NaN	NaN
4.22852	0	128	ძ	128	1	NaN	NaN	NaN
5.13184	0.05	22	ᒈ	22	1	0.0273715	1	NaN
5.19727	0	128	ᓋ	128	1	NaN	NaN	NaN
5.9502	0	124	៎	124	1	NaN	NaN	NaN
7.25195	0.2	1	ᴃ	1	2	NaN	NaN	NaN
7.30664	0	128	ᴻ	128	2	NaN	NaN	NaN
8.03418	0.05	12	․	12	2	0.0320336	1	NaN
8.07422	0	128	⁍	128	2	NaN	NaN	NaN
9.36523	0	124	╷	124	2	NaN	NaN	NaN
10.6641	0.2	2	⪩	2	3	NaN	NaN	NaN
10.7188	0	128	⫡	128	3	NaN	NaN	NaN
11.5811	0.05	21	⹔	21	3	0.0249048	0	NaN
11.6211	0	128	⹽	128	3	NaN	NaN	NaN
12.4961	0	125	ㇽ	125	3	NaN	NaN	NaN
13.6924	0.2	2	㛆	2	4	NaN	NaN	NaN
13.7471	0	128	㛾	128	4	NaN	NaN	NaN
14.6924	0.05	21	㫆	21	4	0.0252095	0	NaN
14.749	0	128	㬀	128	4	NaN	NaN	NaN
15.7871	0	125	㼧	125	4	NaN	NaN	NaN
16.9873	0.2	1	䏴	1	5	NaN	NaN	NaN
17.042	0	128	䐬	128	5	NaN	NaN	NaN
17.7705	0.05	12	䜖	12	5	0.0329745	1	NaN
17.8105	0	128	䜿	128	5	NaN	NaN	NaN
18.543	0	124	䨭	124	5	NaN	NaN	NaN
19.9658	0.2	2	俞	2	6	NaN	NaN	NaN
20.0205	0	128	倖	128	6	NaN	NaN	NaN
20.8984	0.05	21	厙	21	6	0.0254422	1	NaN
20.9395	0	128	參	128	6	NaN	NaN	NaN
21.6719	0	124	嚱	124	6	NaN	NaN	NaN
23.1943	0.2	1	峈	1	7	NaN	NaN	NaN
23.249	0	128	崀	128	7	NaN	NaN	NaN
24.1777	0.05	12	悷	12	7	0.0303656	1	NaN
24.2178	0	128	惠	128	7	NaN	NaN	NaN
24.998	0	124	揿	124	7	NaN	NaN	NaN
26.3223	0.2	1	楋	1	8	NaN	NaN	NaN
26.377	0	128	榃	128	8	NaN	NaN	NaN
27.1221	0.05	12	汾	12	8	0.0274511	1	NaN
27.1787	0	128	沸	128	8	NaN	NaN	NaN
27.9287	0	124	澸	124	8	NaN	NaN	NaN
29.25	0.2	1	甁	1	9	NaN	NaN	NaN
29.3047	0	128	甹	128	9	NaN	NaN	NaN
30.166	0.05	11	碫	11	9	0.0282008	0	NaN
30.207	0	128	磕	128	9	NaN	NaN	NaN
31.1533	0	125	粞	125	9	NaN	NaN	NaN
32.3613	0.2	1	腳	1	10	NaN	NaN	NaN
32.416	0	128	膫	128	10	NaN	NaN	NaN
33.2275	0.05	11	蓪	11	10	0.0277337	1	NaN
33.2686	0	128	蔔	128	10	NaN	NaN	NaN
34.2236	0	124	裦	124	10	NaN	NaN	NaN
35.5566	0.2	2	踻	2	11	NaN	NaN	NaN
35.6113	0	128	蹳	128	11	NaN	NaN	NaN
36.5566	0.05	21	鈻	21	11	0.0264717	0	2
36.5967	0	128	鉤	128	11	NaN	NaN	NaN
37.2637	0	125	锏	125	11	NaN	NaN	NaN
38.1523	0	122	额	122	11	NaN	NaN	NaN
39.6387	0.2	1	麏	1	12	NaN	NaN	NaN
39.6934	0	128	黇	128	12	NaN	NaN	NaN
40.3711	0.05	12	ꅽ	12	12	0.0270535	1	NaN
40.4111	0	128	ꆦ	128	12	NaN	NaN	NaN
41.3906	0	124	ꖑ	124	12	NaN	NaN	NaN
42.583	0.2	1	꩖	1	13	NaN	NaN	NaN
42.6377	0	128	ꪎ	128	13	NaN	NaN	NaN
43.5498	0.05	11	긴	11	13	0.0267678	1	NaN
43.5898	0	128	깝	128	13	NaN	NaN	NaN
44.5049	0	124	눆	124	13	NaN	NaN	NaN
45.7617	0.2	1	뜍	1	14	NaN	NaN	NaN
45.8154	0	128	띄	128	14	NaN	NaN	NaN
46.6943	0.05	11	뫈	11	14	0.0256202	1	NaN
46.7344	0	128	뫱	128	14	NaN	NaN	NaN
47.5908	0	124	빞	124	14	NaN	NaN	NaN
49.1074	0.2	1	쑯	1	15	NaN	NaN	NaN
49.1611	0	128	쒦	128	15	NaN	NaN	NaN
49.957	0.05	11	쟕	11	15	0.0244241	1	NaN
50.0137	0	128	젏	128	15	NaN	NaN	NaN
50.7354	0	124	쫲	124	15	NaN	NaN	NaN
51.918	0.2	2	쾭	2	16	NaN	NaN	NaN
51.9717	0	128	쿤	128	16	NaN	NaN	NaN
52.8506	0.05	21	퍨	21	16	0.0280313	0	NaN
52.8906	0	128	펑	128	16	NaN	NaN	NaN
53.8604	0	125	흲	125	16	NaN	NaN	NaN
55.2295	0.2	1	�	1	17	NaN	NaN	NaN
55.2842	0	128	�	128	17	NaN	NaN	NaN
56.0625	0.05	12		12	17	0.0236193	1	NaN
56.1025	0	128		128	17	NaN	NaN	NaN
56.834	0	124		124	17	NaN	NaN	NaN
58.3584	0.2	1		1	18	NaN	NaN	NaN
58.4131	0	128		128	18	NaN	NaN	NaN
59.1738	0.05	12		12	18	0.0235636	0	NaN
59.2148	0	128		128	18	NaN	NaN	NaN
