onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
6.61621	0	128	᩸	128	0	NaN	NaN	NaN
7.76758	0.05	12	ἓ	12	1	0.0402711	0	NaN
7.82129	0	128	Ὂ	128	1	NaN	NaN	NaN
8.7666	0	125	⌒	125	1	NaN	NaN	NaN
10.3096	0.05	21	⤾	21	2	0.0288668	1	NaN
10.3477	0	128	⥥	128	2	NaN	NaN	NaN
11.1904	0	124	Ⳅ	124	2	NaN	NaN	NaN
12.5674	0.05	12	㉆	12	3	0.0374118	0	NaN
12.6064	0	128	㉮	128	3	NaN	NaN	NaN
13.5791	0	125	㙒	125	3	NaN	NaN	NaN
14.793	0.05	11	㬭	11	4	0.0385321	1	1
14.8311	0	128	㭔	128	4	NaN	NaN	NaN
15.627	0	124	㺃	124	4	NaN	NaN	NaN
16.6582	0	121	䊣	121	4	NaN	NaN	NaN
17.9043	0.05	21	䞟	21	5	0.029194	0	NaN
17.9424	0	128	䟆	128	5	NaN	NaN	NaN
19.4707	0	125	䷣	125	5	NaN	NaN	NaN
20.8652	0.05	21	卷	21	6	0.0262087	0	NaN
20.9033	0	128	厞	128	6	NaN	NaN	NaN
22.1631	0	125	墨	125	6	NaN	NaN	NaN
23.3574	0.05	22	嵯	22	7	0.0285778	0	NaN
23.3965	0	128	嶗	128	7	NaN	NaN	NaN
24.2939	0	125	愮	125	7	NaN	NaN	NaN
25.8838	0.05	12	枊	12	8	0.0393816	0	NaN
25.9219	0	128	枱	128	8	NaN	NaN	NaN
26.7256	0	125	櫨	125	8	NaN	NaN	NaN
28.0918	0.05	12	灟	12	9	0.0398466	1	NaN
28.1299	0	128	炆	128	9	NaN	NaN	NaN
29.1602	0	124	璥	124	9	NaN	NaN	NaN
30.668	0.05	12	窭	12	10	0.0399289	0	NaN
30.707	0	128	竕	128	10	NaN	NaN	NaN
31.9541	0	125	習	125	10	NaN	NaN	NaN
33.3281	0.05	12	蕑	12	11	0.0401917	1	NaN
33.3662	0	128	蕸	128	11	NaN	NaN	NaN
34.2705	0	124	褖	124	11	NaN	NaN	NaN
35.6699	0.05	22	躯	22	12	0.0296863	0	NaN
35.708	0	128	軖	128	12	NaN	NaN	NaN
36.6787	0	125	銸	125	12	NaN	NaN	NaN
37.8955	0.05	11	鞖	11	13	0.0407073	1	NaN
37.9336	0	128	鞽	128	13	NaN	NaN	NaN
39.3945	0	124	鶕	124	13	NaN	NaN	NaN
40.6221	0.05	11	ꉾ	11	14	0.0375365	0	NaN
40.6602	0	128	ꊥ	128	14	NaN	NaN	NaN
42.6426	0	125	ꪓ	125	14	NaN	NaN	NaN
44.0518	0.05	21	뀶	21	15	0.0288168	0	NaN
44.0898	0	128	끝	128	15	NaN	NaN	NaN
45.6318	0	125	뚈	125	15	NaN	NaN	NaN
47.2129	0.05	11	볛	11	16	0.0381039	0	NaN
47.251	0	128	봂	128	16	NaN	NaN	NaN
48.043	0	125	쀭	125	16	NaN	NaN	NaN
49.5547	0.05	21	옹	21	17	0.0296757	0	NaN
49.5938	0	128	왡	128	17	NaN	NaN	NaN
50.585	0	125	쩘	125	17	NaN	NaN	NaN
51.9805	0.05	22	쿭	22	18	0.032421	0	NaN
52.0195	0	128	퀕	128	18	NaN	NaN	NaN
52.8291	0	125	퍒	125	18	NaN	NaN	NaN
54.2891	0.05	12	�	12	19	0.0389638	0	NaN
54.3271	0	128	�	128	19	NaN	NaN	NaN
55.2363	0	125	�	125	19	NaN	NaN	NaN
56.6143	0	32		32	20	NaN	0	NaN
56.6533	0	128		128	20	NaN	NaN	NaN
57.5068	0	125		125	20	NaN	NaN	NaN
59.0068	0.05	12		12	21	0.0393505	0	1
59.0449	0	128		128	21	NaN	NaN	NaN
59.7979	0	125		125	21	NaN	NaN	NaN
61.001	0	121		121	21	NaN	NaN	NaN
