onset	duration	trial_type	sample	value	trial_number	gabor_contrast	subjective_r	objective_r
9.33105	0	128	╔	128	0	NaN	NaN	NaN
10.4307	0.05	22	⦺	22	1	0.0279201	0	1
10.4697	0	128	⧢	128	1	NaN	NaN	NaN
11.8926	0	125	⾓	125	1	NaN	NaN	NaN
13.1592	0	121	㒤	121	1	NaN	NaN	NaN
14.3115	0.05	12	㥀	12	2	0.0307742	0	1
14.3506	0	128	㥨	128	2	NaN	NaN	NaN
15.3877	0	125	㶎	125	2	NaN	NaN	NaN
16.6133	0	121	䉵	121	2	NaN	NaN	NaN
17.8252	0.05	12	䝎	12	3	0.0325013	0	NaN
17.8643	0	128	䝶	128	3	NaN	NaN	NaN
18.8643	0	125	䭶	125	3	NaN	NaN	NaN
20.2842	0.05	22	儤	22	4	0.0281481	0	NaN
20.3232	0	128	兌	128	4	NaN	NaN	NaN
21.2998	0	125	唴	125	4	NaN	NaN	NaN
22.7432	0.05	11	嫺	11	5	0.032351	1	NaN
22.7822	0	128	嬢	128	5	NaN	NaN	NaN
23.5469	0	124	帱	124	5	NaN	NaN	NaN
24.9014	0.05	22	掜	22	6	0.0291616	0	NaN
24.9404	0	128	揄	128	6	NaN	NaN	NaN
25.835	0	125	杘	125	6	NaN	NaN	NaN
27.3604	0.05	21	浲	21	7	0.0271354	0	2
27.3994	0	128	涚	128	7	NaN	NaN	NaN
28.5664	0	125	牅	125	7	NaN	NaN	NaN
29.5752	0	122	癎	122	7	NaN	NaN	NaN
30.8896	0.05	21	箐	21	8	0.0314193	1	NaN
30.9297	0	128	箹	128	8	NaN	NaN	NaN
31.7832	0	124	缣	124	8	NaN	NaN	NaN
32.998	0.05	21	菿	21	9	0.0307311	1	NaN
33.0371	0	128	萧	128	9	NaN	NaN	NaN
33.8652	0	124	蝷	124	9	NaN	NaN	NaN
35.3066	0	31	贻	31	10	NaN	0	NaN
35.3457	0	128	赣	128	10	NaN	NaN	NaN
36.2822	0	125	鄢	125	10	NaN	NaN	NaN
37.4814	0.05	11	问	11	11	0.033718	1	1
37.5205	0	128	阖	128	11	NaN	NaN	NaN
38.4111	0	124	馦	124	11	NaN	NaN	NaN
39.5713	0	121	鹊	121	11	NaN	NaN	NaN
40.9268	0.05	12	ꎶ	12	12	0.0315745	0	NaN
40.9668	0	128	ꏟ	128	12	NaN	NaN	NaN
41.9033	0	125	Ꞟ	125	12	NaN	NaN	NaN
43.1855	0.05	22	겿	22	13	0.0281838	0	NaN
43.2246	0	128	곧	128	13	NaN	NaN	NaN
44.5342	0	125	눤	125	13	NaN	NaN	NaN
45.7617	0	32	뜍	32	14	NaN	0	NaN
45.8008	0	128	뜵	128	14	NaN	NaN	NaN
46.8096	0	125	묾	125	14	NaN	NaN	NaN
48.1875	0.05	21	상	21	15	0.0293418	1	NaN
48.2266	0	128	샩	128	15	NaN	NaN	NaN
49.0166	0	124	쐒	124	15	NaN	NaN	NaN
50.5967	0.05	12	쩤	12	16	0.0297936	0	NaN
50.6357	0	128	쪌	128	16	NaN	NaN	NaN
51.4277	0	125	춷	125	16	NaN	NaN	NaN
52.8545	0.05	22	퍬	22	17	0.0297619	0	2
52.8945	0	128	펕	128	17	NaN	NaN	NaN
53.71	0	125	훘	125	17	NaN	NaN	NaN
54.7031	0	122	�	122	17	NaN	NaN	NaN
55.8994	0.05	22	�	22	18	0.0297874	0	NaN
55.9385	0	128	�	128	18	NaN	NaN	NaN
57.0879	0	125		125	18	NaN	NaN	NaN
58.5928	0.05	12		12	19	0.0308817	0	NaN
58.6318	0	128		128	19	NaN	NaN	NaN
59.4688	0	125		125	19	NaN	NaN	NaN
61.002	0.05	12		12	20	0.0316271	0	1
61.041	0	128		128	20	NaN	NaN	NaN
61.9111	0	125		125	20	NaN	NaN	NaN
63.0791	0	121	ﱒ	121	20	NaN	NaN	NaN
64.4482	0.05	21	6.599600e+04	21	21	0.0292073	1	NaN
64.4873	0	128	6.603600e+04	128	21	NaN	NaN	NaN
65.3672	0	124	6.693700e+04	124	21	NaN	NaN	NaN
66.6729	0.05	12	6.827400e+04	12	22	0.0325539	0	NaN
66.7119	0	128	6.831400e+04	128	22	NaN	NaN	NaN
67.7383	0	125	6.936500e+04	125	22	NaN	NaN	NaN
69.2324	0.05	22	7.089500e+04	22	23	0.0280227	0	NaN
69.2715	0	128	7.093500e+04	128	23	NaN	NaN	NaN
70.1143	0	125	7.179800e+04	125	23	NaN	NaN	NaN
71.3574	0.05	12	7.307100e+04	12	24	0.034352	1	1
71.3965	0	128	7.311100e+04	128	24	NaN	NaN	NaN
72.2598	0	124	7.399500e+04	124	24	NaN	NaN	NaN
73.4463	0	121	7.521000e+04	121	24	NaN	NaN	NaN
74.6689	0.05	11	7.646200e+04	11	25	0.0329597	1	NaN
74.708	0	128	7.650200e+04	128	25	NaN	NaN	NaN
75.5938	0	124	7.740900e+04	124	25	NaN	NaN	NaN
76.7939	0.05	21	7.863800e+04	21	26	0.0290893	0	NaN
76.833	0	128	7.867800e+04	128	26	NaN	NaN	NaN
77.7988	0	125	7.966700e+04	125	26	NaN	NaN	NaN
79.1689	0.05	21	8.107000e+04	21	27	0.0285379	1	NaN
79.209	0	128	8.111100e+04	128	27	NaN	NaN	NaN
79.8828	0	124	8.180100e+04	124	27	NaN	NaN	NaN
81.2275	0.05	12	8.317800e+04	12	28	0.0332988	1	NaN
81.2666	0	128	8.321800e+04	128	28	NaN	NaN	NaN
82.0693	0	124	8.404000e+04	124	28	NaN	NaN	NaN
83.2676	0.05	11	8.526700e+04	11	29	0.0324131	1	1
83.3066	0	128	8.530700e+04	128	29	NaN	NaN	NaN
84.0957	0	124	8.611500e+04	124	29	NaN	NaN	NaN
85.3193	0	121	8.736800e+04	121	29	NaN	NaN	NaN
86.7812	0.05	22	8.886500e+04	22	30	0.0297385	0	NaN
86.8203	0	128	8.890500e+04	128	30	NaN	NaN	NaN
88.0195	0	125	9.013300e+04	125	30	NaN	NaN	NaN
89.4912	0.05	21	9.164000e+04	21	31	0.0271878	1	NaN
89.5303	0	128	9.168000e+04	128	31	NaN	NaN	NaN
90.3447	0	124	9.251400e+04	124	31	NaN	NaN	NaN
91.917	0.05	22	9.412400e+04	22	32	0.0271407	0	NaN
91.9561	0	128	9.416400e+04	128	32	NaN	NaN	NaN
92.7588	0	125	9.498600e+04	125	32	NaN	NaN	NaN
93.9912	0.05	12	9.624800e+04	12	33	0.0312865	0	NaN
94.0303	0	128	9.628800e+04	128	33	NaN	NaN	NaN
94.8643	0	125	9.714200e+04	125	33	NaN	NaN	NaN
96.082	0.05	22	9.838900e+04	22	34	0.0270544	0	NaN
96.1211	0	128	9.842900e+04	128	34	NaN	NaN	NaN
97.001	0	125	9.933000e+04	125	34	NaN	NaN	NaN
98.29	0.05	22	1.006500e+05	22	35	0.0307243	0	NaN
98.3291	0	128	1.006900e+05	128	35	NaN	NaN	NaN
99.123	0	125	1.015030e+05	125	35	NaN	NaN	NaN
100.532	0.05	22	1.029460e+05	22	36	0.0303169	0	NaN
100.571	0	128	1.029860e+05	128	36	NaN	NaN	NaN
101.423	0	125	1.038580e+05	125	36	NaN	NaN	NaN
102.958	0.05	21	1.054300e+05	21	37	0.0320498	0	NaN
102.997	0	128	1.054700e+05	128	37	NaN	NaN	NaN
104.104	0	125	1.066040e+05	125	37	NaN	NaN	NaN
105.45	0.05	11	1.079820e+05	11	38	0.0334559	1	NaN
105.489	0	128	1.080220e+05	128	38	NaN	NaN	NaN
106.354	0	124	1.089080e+05	124	38	NaN	NaN	NaN
107.759	0.05	11	1.103460e+05	11	39	0.03226	0	NaN
107.798	0	128	1.103860e+05	128	39	NaN	NaN	NaN
108.457	0	125	1.110610e+05	125	39	NaN	NaN	NaN
110.001	0.05	21	1.126420e+05	21	40	0.033464	1	NaN
110.04	0	128	1.126820e+05	128	40	NaN	NaN	NaN
110.911	0	124	1.135740e+05	124	40	NaN	NaN	NaN
112.292	0.05	11	1.149880e+05	11	41	0.0315183	0	NaN
112.332	0	128	1.150290e+05	128	41	NaN	NaN	NaN
113.029	0	125	1.157430e+05	125	41	NaN	NaN	NaN
114.267	0.05	21	1.170100e+05	21	42	0.0327015	1	NaN
114.306	0	128	1.170500e+05	128	42	NaN	NaN	NaN
115.079	0	124	1.178420e+05	124	42	NaN	NaN	NaN
116.374	0.05	11	1.191680e+05	11	43	0.0297695	1	NaN
116.413	0	128	1.192080e+05	128	43	NaN	NaN	NaN
117.183	0	124	1.199960e+05	124	43	NaN	NaN	NaN
118.616	0.05	12	1.214640e+05	12	44	0.0310582	0	NaN
118.655	0	128	1.215040e+05	128	44	NaN	NaN	NaN
119.369	0	125	1.222350e+05	125	44	NaN	NaN	NaN
120.59	0.05	22	1.234850e+05	22	45	0.0304622	0	NaN
120.629	0	128	1.235250e+05	128	45	NaN	NaN	NaN
121.69	0	125	1.246120e+05	125	45	NaN	NaN	NaN
123.133	0	32	1.260890e+05	32	46	NaN	0	NaN
123.172	0	128	1.261290e+05	128	46	NaN	NaN	NaN
124.181	0	125	1.271620e+05	125	46	NaN	NaN	NaN
125.592	0.05	12	1.286070e+05	12	47	0.0296127	0	1
125.631	0	128	1.286470e+05	128	47	NaN	NaN	NaN
126.346	0	125	1.293790e+05	125	47	NaN	NaN	NaN
127.669	0	121	1.307340e+05	121	47	NaN	NaN	NaN
128.887	0.05	11	1.319810e+05	11	48	0.0303388	1	NaN
128.927	0	128	1.320220e+05	128	48	NaN	NaN	NaN
129.751	0	124	1.328660e+05	124	48	NaN	NaN	NaN
131.129	0.05	11	1.342770e+05	11	49	0.0298154	1	NaN
131.168	0	128	1.343170e+05	128	49	NaN	NaN	NaN
131.942	0	124	1.351100e+05	124	49	NaN	NaN	NaN
133.421	0.05	12	1.366240e+05	12	50	0.030346	0	NaN
133.46	0	128	1.366640e+05	128	50	NaN	NaN	NaN
134.483	0	125	1.377120e+05	125	50	NaN	NaN	NaN
136.064	0.05	22	1.393310e+05	22	51	0.0310467	1	NaN
136.104	0	128	1.393710e+05	128	51	NaN	NaN	NaN
137.036	0	124	1.403260e+05	124	51	NaN	NaN	NaN
138.523	0.05	11	1.418490e+05	11	52	0.0295912	1	NaN
138.562	0	128	1.418890e+05	128	52	NaN	NaN	NaN
139.382	0	124	1.427280e+05	124	52	NaN	NaN	NaN
140.849	0.05	22	1.442300e+05	22	53	0.0302815	0	1
140.888	0	128	1.442700e+05	128	53	NaN	NaN	NaN
141.962	0	125	1.453700e+05	125	53	NaN	NaN	NaN
143.348	0	121	1.467890e+05	121	53	NaN	NaN	NaN
144.779	0.05	12	1.482550e+05	12	54	0.0303254	0	NaN
144.819	0	128	1.482960e+05	128	54	NaN	NaN	NaN
145.975	0	125	1.494790e+05	125	54	NaN	NaN	NaN
147.423	0.05	12	1.509620e+05	12	55	0.0296978	1	1
147.462	0	128	1.510020e+05	128	55	NaN	NaN	NaN
148.354	0	124	1.519160e+05	124	55	NaN	NaN	NaN
149.384	0	121	1.529700e+05	121	55	NaN	NaN	NaN
150.568	0.05	11	1.541830e+05	11	56	0.0289741	1	1
150.607	0	128	1.542230e+05	128	56	NaN	NaN	NaN
151.346	0	124	1.549790e+05	124	56	NaN	NaN	NaN
152.546	0	121	1.562080e+05	121	56	NaN	NaN	NaN
154.014	0.05	21	1.577110e+05	21	57	0.0307189	1	1
154.053	0	128	1.577510e+05	128	57	NaN	NaN	NaN
154.958	0	124	1.586780e+05	124	57	NaN	NaN	NaN
155.98	0	121	1.597250e+05	121	57	NaN	NaN	NaN
157.46	0.05	11	1.612400e+05	11	58	0.0281585	1	NaN
157.499	0	128	1.612800e+05	128	58	NaN	NaN	NaN
158.271	0	124	1.620710e+05	124	58	NaN	NaN	NaN
159.618	0.05	12	1.634500e+05	12	59	0.025842	0	2
159.657	0	128	1.634900e+05	128	59	NaN	NaN	NaN
160.95	0	125	1.648140e+05	125	59	NaN	NaN	NaN
162.014	0	122	1.659030e+05	122	59	NaN	NaN	NaN
163.198	0.05	12	1.671160e+05	12	60	0.028458	0	1
163.237	0	128	1.671560e+05	128	60	NaN	NaN	NaN
164.545	0	125	1.684950e+05	125	60	NaN	NaN	NaN
165.443	0	121	1.694150e+05	121	60	NaN	NaN	NaN
166.812	0.05	11	1.708160e+05	11	61	0.0290366	1	NaN
166.851	0	128	1.708560e+05	128	61	NaN	NaN	NaN
167.675	0	124	1.717000e+05	124	61	NaN	NaN	NaN
168.902	0	31	1.729570e+05	31	62	NaN	0	NaN
